# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,65.78
0.04,67.06
0.08,65.36
0.12,68.25
0.16,67.48
0.20,68.57
0.24,66.98
0.28,68.56
0.32,68.89
0.36,67.00
0.40,66.76
0.44,69.26
0.48,67.61
0.52,68.38
0.56,69.08
0.60,67.10
0.64,68.90
0.68,67.07
0.72,68.48
0.76,70.28
0.80,68.50
0.84,68.70
0.88,70.16
0.92,70.16
0.96,68.91
1.00,68.92
1.04,69.11
1.08,69.38
1.12,69.85
1.16,70.01
1.20,69.60
1.24,70.17
1.28,69.52
1.32,69.95
1.36,69.44
1.40,68.90
1.44,70.44
1.48,67.49
1.52,68.10
1.56,67.91
1.60,69.54
1.64,67.83
1.68,68.29
1.72,66.97
1.76,66.68
1.80,69.25
1.84,68.88
1.88,68.44
1.92,67.52
1.96,67.24
2.00,69.21
2.04,67.90
2.08,67.73
2.12,66.56
2.16,66.21
2.20,66.15
2.24,65.51
2.28,66.59
2.32,65.00
2.36,65.80
2.40,65.17
2.44,66.33
2.48,64.35
2.52,65.78
2.56,66.48
2.60,67.20
2.64,65.06
2.68,64.75
2.72,66.43
2.76,65.70
2.80,64.25
2.84,65.43
2.88,65.42
2.92,64.88
2.96,64.64
3.00,64.45
3.04,62.63
3.08,64.33
3.12,65.49
3.16,65.34
3.20,66.84
3.24,64.34
3.28,65.02
3.32,67.43
3.36,65.30
3.40,66.14
3.44,64.21
3.48,65.46
3.52,67.25
3.56,64.33
3.60,68.54
3.64,67.22
3.68,65.63
3.72,65.71
3.76,66.89
3.80,67.81
3.84,67.02
3.88,67.49
3.92,66.62
3.96,67.05
4.00,68.98
4.04,67.92
4.08,68.69
4.12,68.52
4.16,69.51
4.20,69.31
4.24,69.19
4.28,70.56
4.32,69.99
4.36,69.36
4.40,70.83
4.44,70.88
4.48,69.80
4.52,70.44
4.56,69.39
4.60,72.83
4.64,69.73
4.68,71.24
4.72,70.60
4.76,72.72
4.80,70.92
4.84,71.08
4.88,71.40
4.92,72.06
4.96,70.34
5.00,71.51
5.04,72.11
5.08,72.40
5.12,71.30
5.16,70.88
5.20,72.47
5.24,71.51
5.28,70.86
5.32,70.89
5.36,72.74
5.40,71.03
5.44,72.46
5.48,70.03
5.52,70.82
5.56,70.71
5.60,69.52
5.64,70.78
5.68,70.75
5.72,68.76
5.76,71.00
5.80,68.83
5.84,68.92
5.88,68.99
5.92,69.50
5.96,67.40
6.00,68.72
6.04,68.24
6.08,66.72
6.12,67.16
6.16,68.24
6.20,67.13
6.24,66.99
6.28,66.98
6.32,67.25
6.36,66.84
6.40,66.25
6.44,67.05
6.48,66.75
6.52,67.67
6.56,66.03
6.60,66.47
6.64,67.61
6.68,66.54
6.72,64.97
6.76,64.47
6.80,65.53
6.84,65.84
6.88,65.18
6.92,67.01
6.96,65.77
7.00,65.59
7.04,65.90
7.08,66.46
7.12,68.16
7.16,65.62
7.20,65.53
7.24,65.07
7.28,64.71
7.32,68.37
7.36,67.23
7.40,67.15
7.44,66.40
7.48,68.30
7.52,67.44
7.56,66.70
7.60,67.22
7.64,68.25
7.68,68.43
7.72,69.51
7.76,68.49
7.80,69.35
7.84,68.43
7.88,67.54
7.92,68.55
7.96,69.58
8.00,68.50
8.04,69.91
8.08,70.32
8.12,68.62
8.16,68.70
8.20,70.72
8.24,71.92
8.28,71.82
8.32,73.46
8.36,70.77
8.40,69.74
8.44,69.46
8.48,71.21
8.52,70.95
8.56,71.94
8.60,70.59
8.64,70.54
8.68,72.30
8.72,70.04
8.76,71.62
8.80,71.84
8.84,72.56
8.88,72.87
8.92,71.37
8.96,71.65
9.00,71.87
9.04,71.90
9.08,71.38
9.12,71.63
9.16,72.06
9.20,72.58
9.24,72.61
9.28,72.44
9.32,72.07
9.36,71.39
9.40,74.05
9.44,71.17
9.48,71.60
9.52,69.82
9.56,72.13
9.60,70.54
9.64,69.95
9.68,70.95
9.72,69.24
9.76,70.87
9.80,69.19
9.84,71.68
9.88,70.26
9.92,69.23
9.96,68.50
10.00,69.66
10.04,69.57
10.08,69.09
10.12,68.20
10.16,67.04
10.20,68.36
10.24,67.96
10.28,68.79
10.32,66.33
10.36,67.95
10.40,67.29
10.44,65.71
10.48,66.99
10.52,68.45
10.56,66.07
10.60,66.27
10.64,66.60
10.68,67.78
10.72,65.94
10.76,67.01
10.80,67.73
10.84,65.69
10.88,64.94
10.92,65.18
10.96,65.80
11.00,67.61
11.04,65.99
11.08,66.19
11.12,65.35
11.16,66.55
11.20,65.41
11.24,65.44
11.28,65.98
11.32,65.94
11.36,66.92
11.40,66.04
11.44,66.37
11.48,67.97
11.52,68.33
11.56,67.62
11.60,66.68
11.64,68.22
11.68,65.80
11.72,66.45
11.76,68.05
11.80,67.18
11.84,67.40
11.88,66.23
11.92,68.31
11.96,69.88
12.00,68.31
12.04,69.41
12.08,69.74
12.12,69.66
12.16,69.95
12.20,71.07
12.24,68.46
12.28,70.66
12.32,68.89
12.36,71.09
12.40,70.60
12.44,70.67
12.48,71.00
12.52,71.62
12.56,71.32
12.60,71.13
12.64,72.67
12.68,72.23
12.72,71.41
12.76,71.06
12.80,71.09
12.84,72.24
12.88,71.69
12.92,72.23
12.96,71.54
13.00,71.76
13.04,72.82
13.08,70.01
13.12,71.99
13.16,70.23
13.20,71.97
13.24,72.84
13.28,70.91
13.32,71.44
13.36,72.89
13.40,71.75
13.44,72.17
13.48,71.79
13.52,69.18
13.56,71.18
13.60,68.11
13.64,69.08
13.68,70.20
13.72,69.19
13.76,70.40
13.80,70.01
13.84,68.16
13.88,70.17
13.92,67.78
13.96,69.08
14.00,69.04
14.04,68.48
14.08,69.02
14.12,68.31
14.16,67.88
14.20,66.23
14.24,67.10
14.28,66.96
14.32,64.92
14.36,67.10
14.40,67.57
14.44,67.31
14.48,67.15
14.52,65.96
14.56,67.66
14.60,66.73
14.64,65.22
14.68,64.95
14.72,67.37
14.76,65.43
14.80,64.99
14.84,65.47
14.88,66.08
14.92,64.99
14.96,65.16
15.00,66.33
15.04,65.16
15.08,66.67
15.12,65.80
15.16,65.03
15.20,66.00
15.24,63.82
15.28,64.84
15.32,65.66
