# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,-20.065,-8.704,65.78,repaus,bun,1
0.0040,6.603,8.816,65.64,repaus,bun,1
0.0080,4.178,-7.025,66.82,repaus,bun,1
0.0120,-1.076,-18.674,65.44,repaus,bun,1
0.0160,-8.297,-28.623,67.22,repaus,bun,1
0.0200,3.850,-15.756,66.57,repaus,bun,1
0.0240,22.916,10.683,66.68,repaus,bun,1
0.0280,9.359,5.090,66.73,repaus,bun,1
0.0320,7.414,-6.201,65.37,repaus,bun,1
0.0360,-1.415,-14.992,66.90,repaus,bun,1
0.0400,11.202,4.923,67.06,repaus,bun,1
0.0440,24.529,19.627,66.90,repaus,bun,1
0.0480,9.515,14.976,65.77,repaus,bun,1
0.0520,7.823,0.637,66.25,repaus,bun,1
0.0560,-4.875,-9.147,67.50,repaus,bun,1
0.0600,3.887,3.677,68.64,repaus,bun,1
0.0640,16.088,14.039,67.25,repaus,bun,1
0.0680,1.265,7.977,64.69,repaus,bun,1
0.0720,-14.375,5.445,66.06,repaus,bun,1
0.0760,-30.173,-13.072,67.19,repaus,bun,1
0.0800,-13.860,-0.478,65.36,repaus,bun,1
0.0840,-6.183,22.736,65.95,repaus,bun,1
0.0880,-23.885,13.967,67.01,repaus,bun,1
0.0920,-32.066,4.327,67.76,repaus,bun,1
0.0960,-40.607,-7.265,66.56,repaus,bun,1
0.1000,-23.959,18.720,66.25,repaus,bun,1
0.1040,-12.905,31.131,67.34,repaus,bun,1
0.1080,-16.353,14.129,66.80,repaus,bun,1
0.1120,-17.306,6.149,67.08,repaus,bun,1
0.1160,-24.498,-13.089,67.30,repaus,bun,1
0.1200,-13.876,2.529,68.25,repaus,bun,1
0.1240,9.620,8.141,68.05,repaus,bun,1
0.1280,3.153,3.211,67.60,repaus,bun,1
0.1320,0.638,-3.277,66.37,repaus,bun,1
0.1360,-7.977,-5.485,65.48,repaus,bun,1
0.1400,1.326,8.642,67.29,repaus,bun,1
0.1440,23.110,28.381,68.84,repaus,bun,1
0.1480,12.683,15.903,67.68,repaus,bun,1
0.1520,17.399,6.101,67.32,repaus,bun,1
0.1560,1.146,-12.331,66.72,repaus,bun,1
0.1600,6.632,2.389,67.48,repaus,bun,1
0.1640,19.576,14.820,67.50,repaus,bun,1
0.1680,12.380,2.417,67.12,repaus,bun,1
0.1720,1.978,-9.272,67.60,repaus,bun,1
0.1760,-16.229,-30.480,67.47,repaus,bun,1
0.1800,-6.541,-6.511,65.72,repaus,bun,1
0.1840,5.445,15.294,67.01,repaus,bun,1
0.1880,-9.931,-3.880,66.80,repaus,bun,1
