# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,76.38
0.04,76.36
0.08,77.51
0.12,77.62
0.16,76.56
0.20,77.24
0.24,76.97
0.28,78.22
0.32,78.13
0.36,78.50
0.40,77.77
0.44,79.10
0.48,79.97
0.52,79.46
0.56,81.23
0.60,79.06
0.64,77.94
0.68,79.54
0.72,81.18
0.76,79.07
0.80,81.25
0.84,80.41
0.88,80.29
0.92,79.91
0.96,79.73
1.00,81.51
1.04,79.24
1.08,81.31
1.12,80.06
1.16,80.02
1.20,79.88
1.24,80.64
1.28,79.02
1.32,80.90
1.36,79.95
1.40,79.62
1.44,77.82
1.48,80.20
1.52,81.09
1.56,77.73
1.60,78.84
1.64,80.21
1.68,76.64
1.72,77.01
1.76,78.48
1.80,77.96
1.84,76.84
1.88,76.63
1.92,77.09
1.96,77.19
2.00,78.52
2.04,78.84
2.08,78.89
2.12,75.51
2.16,77.40
2.20,77.37
2.24,77.60
2.28,76.07
2.32,76.16
2.36,75.35
2.40,74.12
2.44,75.98
2.48,75.64
2.52,76.14
2.56,75.70
2.60,75.83
2.64,75.33
2.68,76.22
2.72,76.13
2.76,74.91
2.80,76.29
2.84,73.36
2.88,76.69
2.92,75.07
2.96,75.51
3.00,75.16
3.04,76.18
3.08,75.21
3.12,75.43
3.16,75.18
3.20,75.49
3.24,75.83
3.28,75.12
3.32,74.64
3.36,75.88
3.40,75.78
3.44,75.87
3.48,75.78
3.52,77.16
3.56,76.54
3.60,76.94
3.64,77.50
3.68,77.37
3.72,76.69
3.76,78.04
3.80,77.54
3.84,76.27
3.88,79.01
3.92,79.24
3.96,78.12
4.00,78.11
4.04,78.18
4.08,78.84
4.12,80.04
4.16,79.91
4.20,80.06
4.24,77.72
4.28,78.74
4.32,78.93
4.36,80.11
4.40,79.07
4.44,81.31
4.48,82.61
4.52,80.11
4.56,81.53
4.60,82.15
4.64,80.78
4.68,81.52
4.72,80.87
4.76,81.32
4.80,82.45
4.84,81.81
4.88,81.59
4.92,79.79
4.96,84.06
5.00,80.30
5.04,79.85
5.08,79.77
5.12,82.75
5.16,81.06
5.20,80.28
5.24,83.12
5.28,81.14
5.32,82.95
5.36,82.40
5.40,81.78
5.44,81.45
5.48,81.09
5.52,82.69
5.56,81.04
5.60,79.67
5.64,81.72
5.68,80.39
5.72,80.25
5.76,80.09
5.80,80.80
5.84,79.43
5.88,78.12
5.92,79.31
5.96,78.93
6.00,78.98
6.04,78.89
6.08,77.51
6.12,78.02
6.16,77.54
6.20,79.35
6.24,78.42
6.28,78.80
6.32,77.46
6.36,78.67
6.40,77.97
6.44,77.70
6.48,76.87
6.52,77.14
6.56,76.78
6.60,76.92
6.64,76.27
6.68,76.52
6.72,74.96
6.76,76.10
6.80,76.10
6.84,77.80
6.88,76.98
6.92,78.41
6.96,74.96
7.00,76.56
7.04,76.56
7.08,78.90
7.12,75.62
7.16,76.96
7.20,76.08
7.24,76.74
7.28,77.75
7.32,77.49
7.36,76.23
7.40,76.02
7.44,77.49
7.48,76.96
7.52,77.27
7.56,78.92
7.60,78.07
7.64,77.67
7.68,77.89
7.72,78.25
7.76,78.09
7.80,79.67
7.84,80.24
7.88,78.87
7.92,79.02
7.96,79.38
8.00,79.67
8.04,79.33
8.08,79.27
8.12,78.54
8.16,78.94
8.20,80.16
8.24,79.03
8.28,79.21
8.32,81.64
8.36,82.87
8.40,81.41
8.44,81.66
8.48,81.79
8.52,80.90
8.56,82.27
8.60,82.96
8.64,81.47
8.68,82.41
8.72,82.27
8.76,83.98
8.80,82.36
8.84,83.05
8.88,81.25
8.92,83.04
8.96,82.43
9.00,83.79
9.04,81.83
9.08,82.04
9.12,83.36
9.16,82.73
9.20,83.07
9.24,83.19
9.28,81.73
9.32,81.43
9.36,82.58
9.40,82.31
9.44,82.02
9.48,83.61
9.52,81.79
9.56,80.10
9.60,80.76
9.64,82.60
9.68,80.27
9.72,80.70
9.76,82.02
9.80,80.76
9.84,80.17
9.88,79.15
9.92,80.58
9.96,80.42
10.00,78.45
10.04,80.83
