# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,-3.296,7.011,76.38,repaus,bun,1
0.0040,10.379,18.547,77.30,repaus,bun,1
0.0080,-5.566,3.411,76.38,repaus,bun,1
0.0120,-12.830,-5.778,75.24,repaus,bun,1
0.0160,-20.708,-14.417,76.52,repaus,bun,1
0.0200,-15.107,-0.266,78.80,repaus,bun,1
0.0240,-14.728,22.509,77.58,repaus,bun,1
0.0280,-25.129,10.964,78.19,repaus,bun,1
0.0320,-32.314,-2.061,75.50,repaus,bun,1
0.0360,-33.988,-4.807,78.50,repaus,bun,1
0.0400,-14.835,12.271,76.36,repaus,bun,1
0.0440,16.771,34.461,77.34,repaus,bun,1
0.0480,12.088,35.706,78.36,repaus,bun,1
0.0520,15.603,17.563,77.20,repaus,bun,1
0.0560,5.101,10.225,76.81,repaus,bun,1
0.0600,21.044,18.254,76.64,repaus,bun,1
0.0640,35.229,36.294,75.64,repaus,bun,1
0.0680,27.075,23.971,77.24,repaus,bun,1
0.0720,17.004,6.923,77.98,repaus,bun,1
0.0760,3.945,-9.207,79.06,repaus,bun,1
0.0800,10.384,6.901,77.51,repaus,bun,1
0.0840,18.791,17.148,75.22,repaus,bun,1
0.0880,11.566,8.254,76.05,repaus,bun,1
0.0920,3.688,-3.040,75.70,repaus,bun,1
0.0960,-8.786,-12.157,78.87,repaus,bun,1
0.1000,-1.751,5.551,77.65,repaus,bun,1
0.1040,15.406,24.211,77.89,repaus,bun,1
0.1080,-0.254,7.768,77.57,repaus,bun,1
0.1120,-15.360,-7.310,78.12,repaus,bun,1
0.1160,-22.120,-19.087,78.28,repaus,bun,1
0.1200,-13.539,-4.507,77.62,repaus,bun,1
0.1240,6.281,6.289,77.16,repaus,bun,1
0.1280,-6.363,-6.581,76.99,repaus,bun,1
0.1320,-18.633,-20.487,77.02,repaus,bun,1
0.1360,-25.274,-26.546,79.27,repaus,bun,1
0.1400,-6.802,-14.196,77.37,repaus,bun,1
0.1440,9.915,9.080,78.74,repaus,bun,1
0.1480,6.189,4.669,77.36,repaus,bun,1
0.1520,10.519,-3.642,76.91,repaus,bun,1
0.1560,-1.116,-11.244,76.90,repaus,bun,1
0.1600,12.812,4.031,76.56,repaus,bun,1
0.1640,23.874,9.193,77.66,repaus,bun,1
0.1680,21.679,-3.318,77.29,repaus,bun,1
0.1720,11.258,-15.333,76.49,repaus,bun,1
0.1760,-1.944,-24.432,77.57,repaus,bun,1
0.1800,2.343,-9.990,77.97,repaus,bun,1
0.1840,16.367,13.715,77.09,repaus,bun,1
0.1880,-5.037,2.547,78.32,repaus,bun,1
0.1920,-18.767,-10.123,79.63,repaus,bun,1
0.1960,-26.999,-14.422,78.53,repaus,bun,1
0.2000,-13.436,7.306,77.24,repaus,bun,1
0.2040,4.616,24.734,76.61,repaus,bun,1
0.2080,2.078,16.975,77.73,repaus,bun,1
0.2120,-12.150,12.851,78.62,repaus,bun,1
0.2160,-18.155,2.363,79.66,repaus,bun,1
0.2200,-7.389,8.936,78.04,repaus,bun,1
0.2240,0.354,31.973,78.06,repaus,bun,1
0.2280,-12.174,13.124,79.44,repaus,bun,1
0.2320,-16.228,2.801,77.63,repaus,bun,1
0.2360,-25.724,-11.658,78.43,repaus,bun,1
0.2400,-7.263,6.433,76.97,repaus,bun,1
0.2440,14.533,18.498,77.29,repaus,bun,1
0.2480,9.583,8.405,79.34,repaus,bun,1
0.2520,9.639,-7.853,78.25,repaus,bun,1
0.2560,-2.328,-23.406,78.36,repaus,bun,1
0.2600,19.227,1.690,78.40,repaus,bun,1
0.2640,48.580,15.144,77.33,repaus,bun,1
0.2680,36.177,-9.677,79.19,repaus,bun,1
0.2720,22.776,-19.064,78.02,repaus,bun,1
0.2760,9.302,-31.453,76.92,repaus,bun,1
0.2800,10.031,-21.778,78.22,repaus,bun,1
0.2840,17.179,-8.055,77.34,repaus,bun,1
0.2880,6.431,-19.564,77.56,repaus,bun,1
0.2920,-16.225,-38.668,77.47,repaus,bun,1
0.2960,-23.992,-44.667,78.45,repaus,bun,1
0.3000,-19.809,-23.216,79.85,repaus,bun,1
0.3040,2.479,0.038,79.61,repaus,bun,1
0.3080,-8.168,-6.214,79.35,repaus,bun,1
0.3120,-18.923,-9.151,78.25,repaus,bun,1
0.3160,-25.655,-20.468,78.93,repaus,bun,1
0.3200,-11.864,7.109,78.13,repaus,bun,1
0.3240,-1.749,22.853,80.64,repaus,bun,1
0.3280,-11.625,14.048,79.61,repaus,bun,1
0.3320,-15.576,-4.249,79.59,repaus,bun,1
0.3360,-21.025,-17.438,78.81,repaus,bun,1
0.3400,-9.471,0.685,78.13,repaus,bun,1
0.3440,10.643,18.812,79.79,repaus,bun,1
0.3480,9.774,13.051,78.13,repaus,bun,1
0.3520,-1.864,2.460,78.77,repaus,bun,1
0.3560,-9.373,-5.613,79.11,repaus,bun,1
0.3600,3.993,7.610,78.50,repaus,bun,1
0.3640,29.218,24.672,79.34,repaus,bun,1
0.3680,17.157,11.162,80.13,repaus,bun,1
0.3720,6.233,3.974,79.15,repaus,bun,1
0.3760,-6.865,-8.858,79.14,repaus,bun,1
0.3800,9.789,2.454,78.47,repaus,bun,1
0.3840,16.271,13.564,78.45,repaus,bun,1
0.3880,1.800,-0.617,77.83,repaus,bun,1
0.3920,-15.071,-10.538,77.66,repaus,bun,1
0.3960,-31.393,-22.280,77.94,repaus,bun,1
0.4000,-16.203,1.271,77.77,repaus,bun,1
0.4040,-2.849,22.727,77.55,repaus,bun,1
0.4080,-14.768,16.126,78.32,repaus,bun,1
0.4120,-21.016,10.955,77.07,repaus,bun,1
0.4160,-23.495,4.883,78.52,repaus,bun,1
0.4200,-4.496,17.588,77.86,repaus,bun,1
0.4240,20.958,32.391,79.87,repaus,bun,1
0.4280,18.064,22.667,78.99,repaus,bun,1
0.4320,4.329,3.407,79.50,repaus,bun,1
0.4360,-4.185,-17.831,79.64,repaus,bun,1
0.4400,16.624,-3.799,79.10,repaus,bun,1
0.4440,30.302,8.667,79.09,repaus,bun,1
0.4480,20.923,-3.265,79.34,repaus,bun,1
0.4520,12.935,-20.866,78.34,repaus,bun,1
0.4560,7.509,-38.114,80.75,repaus,bun,1
0.4600,20.588,-12.503,79.53,repaus,bun,1
0.4640,34.523,4.452,77.90,repaus,bun,1
0.4680,24.320,-9.126,78.15,repaus,bun,1
0.4720,4.354,-17.711,79.20,repaus,bun,1
0.4760,-0.296,-23.631,81.78,repaus,bun,1
0.4800,9.961,-6.218,79.97,repaus,bun,1
0.4840,16.200,7.138,78.81,repaus,bun,1
0.4880,-2.370,-10.280,79.81,repaus,bun,1
0.4920,-22.610,-21.893,78.40,repaus,bun,1
0.4960,-39.361,-35.139,79.78,repaus,bun,1
0.5000,-24.767,-16.823,78.50,repaus,bun,1
0.5040,-15.179,2.669,78.74,repaus,bun,1
0.5080,-15.315,-5.113,78.86,repaus,bun,1
0.5120,-23.848,-7.776,79.14,repaus,bun,1
0.5160,-31.708,-11.779,79.19,repaus,bun,1
0.5200,-9.276,6.896,79.46,repaus,bun,1
0.5240,8.124,32.879,80.71,repaus,bun,1
0.5280,3.037,15.608,79.75,repaus,bun,1
0.5320,4.272,1.199,79.18,repaus,bun,1
0.5360,-3.935,-4.187,79.92,repaus,bun,1
0.5400,11.959,-1.757,79.35,repaus,bun,1
0.5440,29.184,17.918,79.63,repaus,bun,1
0.5480,20.853,8.735,79.11,repaus,bun,1
0.5520,12.619,-4.214,80.03,repaus,bun,1
0.5560,0.443,-17.995,79.76,repaus,bun,1
0.5600,15.424,4.181,81.23,repaus,bun,1
0.5640,32.664,16.512,80.35,repaus,bun,1
0.5680,23.017,11.363,80.60,repaus,bun,1
0.5720,14.119,-1.894,78.09,repaus,bun,1
0.5760,-1.075,-8.947,78.56,repaus,bun,1
0.5800,13.562,11.875,79.46,repaus,bun,1
0.5840,24.733,29.282,78.63,repaus,bun,1
0.5880,14.569,10.278,80.27,repaus,bun,1
0.5920,3.439,-6.472,79.93,repaus,bun,1
0.5960,-13.285,-28.978,78.66,repaus,bun,1
0.6000,-2.051,-8.595,79.06,repaus,bun,1
0.6040,9.476,4.241,79.80,repaus,bun,1
0.6080,0.142,-3.610,79.04,repaus,bun,1
0.6120,-9.685,-16.525,81.75,repaus,bun,1
0.6160,-17.810,-25.888,78.81,repaus,bun,1
0.6200,-0.245,-3.910,77.56,repaus,bun,1
0.6240,20.752,15.750,78.74,repaus,bun,1
0.6280,22.654,12.879,79.58,repaus,bun,1
0.6320,19.662,-1.159,78.83,repaus,bun,1
0.6360,9.711,-9.667,80.31,repaus,bun,1
0.6400,21.589,2.668,77.94,repaus,bun,1
0.6440,37.862,12.989,81.08,repaus,bun,1
0.6480,28.442,5.779,81.34,repaus,bun,1
0.6520,9.605,-13.156,80.31,repaus,bun,1
0.6560,1.249,-30.447,79.59,repaus,bun,1
0.6600,18.754,-14.503,79.71,repaus,bun,1
0.6640,23.848,5.089,79.65,repaus,bun,1
0.6680,6.465,-5.847,78.74,repaus,bun,1
0.6720,-4.783,-10.255,79.45,repaus,bun,1
0.6760,-20.775,-26.844,80.20,repaus,bun,1
0.6800,-4.653,-3.442,79.54,repaus,bun,1
0.6840,7.524,15.802,79.96,repaus,bun,1
0.6880,-4.068,8.103,79.94,repaus,bun,1
0.6920,-15.750,0.971,78.60,repaus,bun,1
0.6960,-27.718,-7.662,78.24,repaus,bun,1
0.7000,-13.277,5.137,78.40,repaus,bun,1
0.7040,-3.635,17.794,80.94,repaus,bun,1
0.7080,-16.541,11.465,79.74,repaus,bun,1
0.7120,-24.548,8.566,78.54,repaus,bun,1
0.7160,-36.128,-6.448,80.46,repaus,bun,1
0.7200,-10.801,17.442,81.18,repaus,bun,1
0.7240,18.472,37.835,78.45,repaus,bun,1
0.7280,15.671,30.553,82.30,repaus,bun,1
0.7320,11.273,10.436,80.32,repaus,bun,1
0.7360,4.105,3.484,80.71,repaus,bun,1
0.7400,27.275,27.114,78.83,repaus,bun,1
0.7440,52.386,29.680,80.00,repaus,bun,1
0.7480,38.477,20.227,81.50,repaus,bun,1
0.7520,28.784,0.611,79.39,repaus,bun,1
0.7560,21.908,-16.922,81.17,repaus,bun,1
0.7600,34.851,3.153,79.07,repaus,bun,1
0.7640,43.098,19.158,79.18,repaus,bun,1
0.7680,30.903,-1.888,80.15,repaus,bun,1
0.7720,12.018,-13.655,80.59,repaus,bun,1
0.7760,4.579,-19.058,79.58,repaus,bun,1
0.7800,11.662,5.194,80.33,repaus,bun,1
0.7840,23.912,14.591,81.00,repaus,bun,1
0.7880,5.700,3.409,80.36,repaus,bun,1
0.7920,0.034,-11.880,80.77,repaus,bun,1
0.7960,-13.222,-19.378,80.87,repaus,bun,1
0.8000,-0.820,-8.534,81.25,repaus,bun,1
0.8040,6.186,-2.160,80.07,repaus,bun,1
0.8080,-7.833,-9.902,79.93,repaus,bun,1
0.8120,-13.700,-23.287,79.72,repaus,bun,1
0.8160,-19.303,-30.524,79.88,repaus,bun,1
0.8200,-6.060,-10.713,80.34,repaus,bun,1
0.8240,10.179,5.684,79.57,repaus,bun,1
0.8280,6.361,0.486,81.54,repaus,bun,1
0.8320,7.972,-1.833,80.79,repaus,bun,1
0.8360,-1.022,-15.941,79.27,repaus,bun,1
0.8400,14.615,5.418,80.41,repaus,bun,1
0.8440,39.577,20.747,80.13,repaus,bun,1
0.8480,28.015,13.479,79.04,repaus,bun,1
0.8520,18.041,-2.668,79.56,repaus,bun,1
0.8560,-0.075,-14.373,80.10,repaus,bun,1
0.8600,13.981,5.489,81.72,repaus,bun,1
0.8640,26.551,12.501,79.91,repaus,bun,1
0.8680,14.171,6.616,80.00,repaus,bun,1
0.8720,0.275,-5.933,80.94,repaus,bun,1
0.8760,-11.086,-17.798,79.11,repaus,bun,1
0.8800,-2.763,0.638,80.29,repaus,bun,1
0.8840,7.125,28.383,79.39,repaus,bun,1
0.8880,-4.252,21.229,79.41,repaus,bun,1
0.8920,-2.799,11.021,80.46,repaus,bun,1
0.8960,-10.571,-2.013,82.37,repaus,bun,1
0.9000,11.683,16.143,78.99,repaus,bun,1
0.9040,25.227,30.680,79.82,repaus,bun,1
0.9080,8.645,14.026,80.87,repaus,bun,1
0.9120,4.598,-5.080,80.89,repaus,bun,1
0.9160,-2.696,-11.547,80.88,repaus,bun,1
0.9200,13.110,3.897,79.91,repaus,bun,1
0.9240,24.220,18.399,80.64,repaus,bun,1
0.9280,20.244,3.613,79.56,repaus,bun,1
0.9320,17.045,-4.041,80.72,repaus,bun,1
0.9360,17.517,-13.429,80.46,repaus,bun,1
0.9400,33.133,5.496,79.47,repaus,bun,1
0.9440,46.869,20.224,81.81,repaus,bun,1
0.9480,38.989,7.079,80.13,repaus,bun,1
0.9520,31.524,-7.895,79.21,repaus,bun,1
0.9560,16.533,-29.907,80.45,repaus,bun,1
0.9600,28.058,-20.362,79.73,repaus,bun,1
0.9640,40.750,1.454,79.09,repaus,bun,1
0.9680,28.753,-16.314,80.20,repaus,bun,1
0.9720,11.448,-28.927,80.17,repaus,bun,1
