# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,69.55
0.04,69.96
0.08,69.32
0.12,70.53
0.16,70.68
0.20,71.03
0.24,73.12
0.28,71.58
0.32,71.13
0.36,71.92
0.40,71.62
0.44,72.27
0.48,71.46
0.52,73.42
0.56,72.35
0.60,74.07
0.64,74.18
0.68,73.25
0.72,72.86
0.76,73.46
0.80,72.39
0.84,74.48
0.88,73.85
0.92,72.45
0.96,74.04
1.00,72.61
1.04,73.27
1.08,73.18
1.12,72.95
1.16,75.63
1.20,72.94
1.24,72.80
1.28,71.71
1.32,74.93
1.36,73.86
1.40,72.49
1.44,73.55
1.48,72.93
1.52,72.05
1.56,72.90
1.60,71.94
1.64,73.73
1.68,73.23
1.72,72.00
1.76,71.94
1.80,71.90
1.84,72.31
1.88,72.83
1.92,70.78
1.96,71.11
2.00,70.57
2.04,71.14
2.08,71.75
2.12,70.94
2.16,71.19
2.20,72.00
2.24,71.15
2.28,70.29
2.32,70.50
2.36,69.81
2.40,69.28
2.44,68.69
2.48,68.98
2.52,69.15
2.56,69.53
2.60,69.56
2.64,69.94
2.68,69.35
2.72,67.99
2.76,69.26
2.80,67.71
2.84,67.59
2.88,68.01
2.92,68.20
2.96,68.12
3.00,68.09
3.04,68.49
3.08,67.80
3.12,69.56
3.16,68.49
3.20,67.43
3.24,68.34
3.28,69.68
3.32,70.21
3.36,70.55
3.40,69.78
3.44,69.39
3.48,68.94
3.52,70.93
3.56,69.46
3.60,70.33
3.64,69.82
3.68,69.83
3.72,71.26
3.76,69.81
3.80,69.36
3.84,71.08
3.88,71.43
3.92,72.18
3.96,71.08
4.00,70.93
4.04,73.55
4.08,72.17
4.12,71.42
4.16,74.23
4.20,74.60
4.24,73.76
4.28,73.43
4.32,73.47
4.36,73.90
4.40,75.40
4.44,73.63
4.48,73.26
4.52,74.94
4.56,73.12
4.60,73.51
4.64,75.08
4.68,74.70
4.72,75.15
4.76,74.32
4.80,73.91
4.84,73.06
4.88,75.96
4.92,73.25
4.96,77.08
5.00,75.03
5.04,73.70
5.08,74.68
5.12,74.34
5.16,74.50
5.20,73.99
5.24,74.97
5.28,75.83
5.32,74.94
5.36,76.68
5.40,74.97
5.44,76.69
5.48,73.99
5.52,74.37
5.56,76.07
5.60,75.38
5.64,75.61
5.68,75.13
5.72,74.44
5.76,73.27
5.80,71.40
5.84,74.35
5.88,73.05
5.92,72.52
5.96,71.73
6.00,72.37
6.04,72.32
6.08,72.92
6.12,71.35
6.16,71.27
6.20,72.99
6.24,69.94
6.28,72.83
6.32,70.81
6.36,71.40
6.40,71.61
6.44,71.26
6.48,71.54
6.52,70.31
6.56,70.62
6.60,69.31
6.64,69.65
6.68,70.74
6.72,70.69
6.76,69.70
6.80,68.93
6.84,69.65
6.88,70.23
6.92,69.92
6.96,70.64
7.00,69.45
7.04,68.63
7.08,68.88
7.12,69.91
7.16,70.01
7.20,70.56
7.24,69.82
7.28,68.76
7.32,69.21
7.36,69.73
7.40,70.77
7.44,69.80
7.48,69.51
7.52,71.76
7.56,71.99
7.60,72.77
7.64,71.73
7.68,70.40
7.72,70.91
7.76,71.53
7.80,72.39
7.84,72.07
7.88,73.29
7.92,73.63
7.96,74.61
8.00,73.27
8.04,72.78
8.08,73.68
8.12,73.17
8.16,72.66
8.20,75.64
8.24,73.28
8.28,75.58
8.32,74.22
8.36,74.24
8.40,75.58
8.44,75.46
8.48,73.51
8.52,74.62
8.56,74.53
8.60,76.45
8.64,76.58
8.68,75.67
8.72,75.93
8.76,74.30
8.80,76.08
8.84,75.23
8.88,74.93
8.92,76.79
8.96,75.74
9.00,78.07
9.04,77.11
9.08,76.39
9.12,76.87
9.16,75.97
9.20,75.33
9.24,75.68
9.28,76.45
9.32,76.27
9.36,75.77
9.40,75.11
9.44,74.97
9.48,75.11
9.52,74.80
9.56,74.71
9.60,75.17
9.64,74.35
9.68,74.79
9.72,73.64
9.76,72.71
9.80,72.97
9.84,73.94
9.88,73.48
9.92,73.49
9.96,73.70
10.00,73.68
10.04,74.46
10.08,72.58
10.12,72.98
10.16,72.16
10.20,70.99
10.24,72.87
10.28,70.65
10.32,72.11
10.36,71.14
10.40,72.97
10.44,73.05
10.48,70.94
10.52,69.36
10.56,68.99
10.60,70.14
10.64,69.96
10.68,70.76
10.72,70.38
10.76,71.37
10.80,69.85
10.84,70.93
10.88,68.77
10.92,69.00
10.96,70.01
11.00,69.17
11.04,69.94
11.08,71.33
11.12,69.88
11.16,70.18
11.20,70.08
11.24,70.18
11.28,71.26
11.32,69.43
11.36,71.24
11.40,69.36
11.44,70.39
11.48,70.44
11.52,71.22
11.56,71.81
11.60,70.19
11.64,71.01
11.68,70.64
11.72,70.31
11.76,73.20
11.80,71.36
11.84,73.10
11.88,71.96
11.92,72.66
11.96,72.28
12.00,73.13
12.04,72.45
12.08,72.44
12.12,73.00
12.16,72.72
