# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,1.742,-5.782,69.55,repaus,bun,1
0.0040,16.222,8.822,68.82,repaus,bun,1
0.0080,7.971,-8.824,69.22,repaus,bun,1
0.0120,-9.290,-14.237,69.72,repaus,bun,1
0.0160,-23.525,-30.577,70.17,repaus,bun,1
0.0200,-12.227,-17.879,70.44,repaus,bun,1
0.0240,-4.296,2.974,71.25,repaus,bun,1
0.0280,-19.570,-6.188,69.23,repaus,bun,1
0.0320,-35.167,-18.605,72.13,repaus,bun,1
0.0360,-44.166,-24.591,70.21,repaus,bun,1
0.0400,-29.861,-3.615,69.96,repaus,bun,1
0.0440,-20.592,10.785,68.33,repaus,bun,1
0.0480,-25.331,-0.017,71.07,repaus,bun,1
0.0520,-33.259,-6.745,70.98,repaus,bun,1
0.0560,-35.937,-20.596,69.39,repaus,bun,1
0.0600,-17.692,2.822,71.53,repaus,bun,1
0.0640,4.636,16.463,70.90,repaus,bun,1
0.0680,-2.575,6.064,71.24,repaus,bun,1
0.0720,-5.330,-3.562,70.82,repaus,bun,1
0.0760,-14.368,-7.764,71.10,repaus,bun,1
0.0800,-4.726,11.005,69.32,repaus,bun,1
0.0840,-0.087,39.206,70.98,repaus,bun,1
0.0880,-6.813,15.480,69.79,repaus,bun,1
0.0920,-15.762,10.391,69.83,repaus,bun,1
0.0960,-26.887,-1.592,71.31,repaus,bun,1
0.1000,-19.389,11.964,69.19,repaus,bun,1
0.1040,-4.664,26.454,71.57,repaus,bun,1
0.1080,-15.273,9.056,71.08,repaus,bun,1
0.1120,-23.376,-3.620,71.93,repaus,bun,1
0.1160,-27.956,-17.137,71.27,repaus,bun,1
0.1200,-19.832,-3.439,70.53,repaus,bun,1
0.1240,-5.698,7.721,70.04,repaus,bun,1
0.1280,-13.795,-3.880,70.87,repaus,bun,1
0.1320,-27.470,-13.172,70.30,repaus,bun,1
0.1360,-35.927,-23.297,70.20,repaus,bun,1
0.1400,-20.599,-7.381,70.24,repaus,bun,1
0.1440,-5.032,10.627,71.96,repaus,bun,1
0.1480,-13.190,0.634,71.91,repaus,bun,1
0.1520,-12.285,-12.119,71.00,repaus,bun,1
0.1560,-11.627,-32.415,71.82,repaus,bun,1
0.1600,1.338,-12.434,70.68,repaus,bun,1
0.1640,26.684,2.096,70.34,repaus,bun,1
0.1680,20.744,-8.504,71.31,repaus,bun,1
0.1720,13.318,-25.021,72.54,repaus,bun,1
0.1760,11.627,-33.476,69.49,repaus,bun,1
0.1800,19.532,-7.732,71.90,repaus,bun,1
0.1840,23.340,9.226,72.65,repaus,bun,1
0.1880,12.216,5.205,70.69,repaus,bun,1
0.1920,-0.458,2.266,69.99,repaus,bun,1
0.1960,-16.774,-12.864,70.74,repaus,bun,1
0.2000,-6.028,5.093,71.03,repaus,bun,1
0.2040,1.925,12.268,72.60,repaus,bun,1
0.2080,-8.090,-3.010,71.27,repaus,bun,1
0.2120,-17.488,-10.585,70.55,repaus,bun,1
0.2160,-34.301,-18.825,70.37,repaus,bun,1
0.2200,-21.102,-8.853,71.10,repaus,bun,1
0.2240,-10.809,2.688,71.98,repaus,bun,1
0.2280,-20.697,-4.571,71.58,repaus,bun,1
0.2320,-34.057,-15.852,70.41,repaus,bun,1
0.2360,-42.405,-17.288,70.18,repaus,bun,1
0.2400,-26.786,5.250,73.12,repaus,bun,1
0.2440,-8.415,25.587,70.88,repaus,bun,1
0.2480,-14.902,18.609,72.37,repaus,bun,1
0.2520,-27.063,13.298,72.42,repaus,bun,1
0.2560,-30.249,3.634,72.19,repaus,bun,1
0.2600,-7.534,3.903,69.95,repaus,bun,1
0.2640,5.546,18.063,71.76,repaus,bun,1
0.2680,5.883,9.965,71.18,repaus,bun,1
0.2720,3.928,0.160,70.89,repaus,bun,1
0.2760,1.494,-15.642,72.50,repaus,bun,1
0.2800,14.008,6.997,71.58,repaus,bun,1
0.2840,22.355,21.476,71.74,repaus,bun,1
0.2880,9.157,7.953,72.65,repaus,bun,1
0.2920,-3.315,-1.793,70.79,repaus,bun,1
0.2960,-13.163,-10.256,70.51,repaus,bun,1
0.3000,-9.441,12.570,70.85,repaus,bun,1
0.3040,0.061,21.608,72.37,repaus,bun,1
0.3080,-10.059,5.992,74.02,repaus,bun,1
0.3120,-21.531,-9.631,72.41,repaus,bun,1
0.3160,-31.630,-23.385,71.94,repaus,bun,1
0.3200,-19.424,-16.489,71.13,repaus,bun,1
0.3240,-1.442,2.046,73.07,repaus,bun,1
0.3280,-9.098,-13.827,71.81,repaus,bun,1
0.3320,-12.001,-25.508,70.65,repaus,bun,1
0.3360,-21.297,-28.847,72.20,repaus,bun,1
0.3400,-8.861,-14.748,72.35,repaus,bun,1
0.3440,6.703,5.831,72.16,repaus,bun,1
0.3480,-3.586,-8.973,72.03,repaus,bun,1
0.3520,-7.808,-10.129,70.98,repaus,bun,1
0.3560,-17.475,-19.828,72.29,repaus,bun,1
0.3600,-0.918,3.128,71.92,repaus,bun,1
0.3640,10.743,17.811,71.62,repaus,bun,1
0.3680,7.296,13.825,72.47,repaus,bun,1
0.3720,-5.034,-5.522,72.54,repaus,bun,1
0.3760,-14.378,-15.666,73.42,repaus,bun,1
0.3800,3.830,-8.751,72.75,repaus,bun,1
0.3840,14.912,13.647,71.82,repaus,bun,1
0.3880,5.617,1.184,71.78,repaus,bun,1
0.3920,-3.334,-9.612,73.08,repaus,bun,1
0.3960,-27.438,-4.558,73.14,repaus,bun,1
0.4000,-20.779,5.551,71.62,repaus,bun,1
0.4040,-10.489,30.123,74.53,repaus,bun,1
0.4080,-23.375,19.310,71.87,repaus,bun,1
0.4120,-36.822,5.039,71.81,repaus,bun,1
0.4160,-46.853,-9.358,73.21,repaus,bun,1
0.4200,-29.702,-0.442,70.84,repaus,bun,1
0.4240,-14.640,11.595,72.80,repaus,bun,1
0.4280,-25.177,7.383,72.52,repaus,bun,1
0.4320,-28.397,-8.642,72.30,repaus,bun,1
0.4360,-33.951,-14.580,72.67,repaus,bun,1
0.4400,-19.684,-1.257,72.27,repaus,bun,1
0.4440,0.101,18.354,72.48,repaus,bun,1
0.4480,-8.435,5.738,72.14,repaus,bun,1
0.4520,-10.052,-3.966,72.23,repaus,bun,1
0.4560,-18.366,-9.763,70.82,repaus,bun,1
0.4600,-2.926,3.156,73.27,repaus,bun,1
0.4640,11.779,23.495,72.55,repaus,bun,1
0.4680,5.807,5.160,71.12,repaus,bun,1
0.4720,-5.370,-12.634,73.79,repaus,bun,1
0.4760,-9.761,-26.006,71.37,repaus,bun,1
0.4800,8.948,-8.108,71.46,repaus,bun,1
0.4840,16.829,3.829,73.36,repaus,bun,1
0.4880,12.297,-17.254,72.01,repaus,bun,1
0.4920,-5.846,-16.247,72.99,repaus,bun,1
0.4960,-14.641,-26.937,72.09,repaus,bun,1
0.5000,-9.968,-14.407,71.74,repaus,bun,1
0.5040,1.620,8.142,72.05,repaus,bun,1
0.5080,-14.945,-2.754,74.16,repaus,bun,1
0.5120,-31.837,-14.665,71.18,repaus,bun,1
