# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,77.01
0.04,78.67
0.08,77.99
0.12,76.94
0.16,80.26
0.20,77.60
0.24,79.39
0.28,80.23
0.32,79.99
0.36,78.78
0.40,79.42
0.44,80.15
0.48,79.07
0.52,80.59
0.56,80.04
0.60,81.32
0.64,80.26
0.68,81.07
0.72,79.94
0.76,81.01
0.80,78.34
0.84,80.16
0.88,80.23
0.92,79.13
0.96,81.37
1.00,79.98
1.04,80.64
1.08,80.72
1.12,81.15
1.16,81.47
1.20,80.96
1.24,80.76
1.28,80.86
1.32,80.37
1.36,80.19
1.40,80.91
1.44,79.21
1.48,79.45
1.52,80.74
1.56,81.75
1.60,79.98
1.64,79.51
1.68,79.91
1.72,80.14
1.76,79.73
1.80,77.60
1.84,77.59
1.88,80.36
1.92,76.46
1.96,77.23
2.00,78.28
2.04,79.53
2.08,78.10
2.12,77.24
2.16,79.40
2.20,78.63
2.24,77.04
2.28,77.80
2.32,77.95
2.36,76.40
2.40,76.07
2.44,77.01
2.48,77.41
2.52,77.88
2.56,77.33
2.60,77.19
2.64,78.13
2.68,77.15
2.72,76.06
2.76,76.49
2.80,74.92
2.84,75.48
2.88,75.09
2.92,73.90
2.96,75.22
3.00,74.61
3.04,74.62
3.08,76.53
3.12,76.79
3.16,75.68
3.20,75.86
3.24,76.65
3.28,78.02
3.32,76.16
3.36,77.18
3.40,77.09
3.44,76.69
3.48,77.87
3.52,76.72
3.56,76.40
3.60,75.14
3.64,76.93
3.68,78.56
3.72,76.46
3.76,77.80
3.80,78.94
3.84,77.65
3.88,78.63
3.92,78.86
3.96,77.57
4.00,78.68
4.04,79.77
4.08,80.20
4.12,80.51
4.16,80.13
4.20,81.62
4.24,81.87
4.28,81.68
4.32,80.26
4.36,80.13
4.40,80.82
4.44,80.27
4.48,81.04
4.52,82.65
4.56,81.83
4.60,82.38
4.64,82.10
4.68,82.28
4.72,82.73
4.76,83.54
4.80,82.77
4.84,83.13
4.88,83.54
4.92,82.93
4.96,81.89
5.00,83.05
5.04,81.81
5.08,81.70
5.12,82.94
5.16,84.20
5.20,82.49
5.24,81.61
5.28,81.65
5.32,83.78
5.36,82.66
5.40,83.29
5.44,79.18
5.48,82.73
5.52,81.38
5.56,82.18
5.60,79.57
5.64,81.42
5.68,81.50
5.72,81.78
5.76,81.47
5.80,80.63
5.84,81.66
5.88,79.92
5.92,80.63
5.96,80.06
6.00,78.83
6.04,80.65
6.08,80.23
6.12,80.76
6.16,81.12
6.20,80.43
6.24,79.46
6.28,77.07
6.32,78.47
6.36,78.24
6.40,78.73
6.44,79.11
6.48,78.51
6.52,77.01
6.56,77.76
6.60,78.00
6.64,77.68
6.68,77.14
6.72,76.53
6.76,77.15
6.80,78.36
6.84,77.18
6.88,77.23
6.92,77.16
6.96,76.79
7.00,76.39
7.04,77.19
7.08,76.44
7.12,77.59
7.16,78.06
7.20,76.98
7.24,76.36
7.28,78.22
7.32,77.63
7.36,77.81
7.40,78.10
7.44,77.64
7.48,79.26
7.52,77.66
7.56,78.15
7.60,77.13
7.64,78.64
7.68,80.64
7.72,78.64
7.76,80.88
7.80,78.59
7.84,79.38
7.88,79.63
7.92,80.38
7.96,80.73
8.00,81.28
8.04,80.72
8.08,80.20
8.12,80.57
8.16,81.25
8.20,81.05
8.24,80.14
8.28,81.44
8.32,81.59
8.36,80.59
8.40,80.70
8.44,80.93
8.48,83.57
8.52,83.35
8.56,82.77
8.60,83.65
8.64,81.58
8.68,83.04
8.72,82.79
8.76,82.95
8.80,81.74
8.84,84.64
8.88,83.39
8.92,82.87
8.96,83.17
9.00,83.09
9.04,82.55
9.08,82.94
9.12,83.38
9.16,83.83
9.20,84.04
9.24,82.72
9.28,83.97
9.32,81.40
9.36,83.79
9.40,83.17
9.44,81.06
9.48,82.78
9.52,82.56
9.56,82.28
9.60,83.06
9.64,82.55
9.68,80.88
9.72,82.98
9.76,81.91
9.80,81.53
9.84,81.25
9.88,81.06
9.92,81.66
9.96,80.76
10.00,81.65
10.04,79.06
10.08,80.82
10.12,82.00
10.16,80.81
10.20,79.60
10.24,78.43
10.28,78.66
10.32,77.90
10.36,77.23
10.40,77.41
10.44,77.76
10.48,78.12
10.52,78.87
10.56,78.95
10.60,78.11
10.64,78.44
10.68,77.46
10.72,76.19
10.76,77.33
10.80,78.29
10.84,77.76
10.88,77.41
10.92,76.89
10.96,77.22
11.00,76.92
11.04,76.73
11.08,76.84
11.12,78.81
11.16,77.12
11.20,78.21
11.24,77.57
11.28,78.05
11.32,76.99
11.36,78.31
11.40,77.31
11.44,79.23
11.48,78.80
11.52,79.99
11.56,77.53
11.60,79.57
11.64,78.38
11.68,80.07
11.72,78.98
11.76,77.81
11.80,80.58
11.84,80.59
11.88,81.69
11.92,81.30
11.96,79.52
12.00,80.06
12.04,79.34
12.08,81.16
12.12,80.52
12.16,81.40
12.20,80.14
12.24,79.73
12.28,80.96
12.32,81.96
12.36,81.88
12.40,80.90
12.44,82.75
12.48,82.23
12.52,82.59
12.56,82.53
12.60,82.99
12.64,82.66
12.68,81.48
12.72,82.66
12.76,82.35
12.80,82.51
12.84,82.06
12.88,83.25
12.92,83.96
12.96,81.26
13.00,83.85
13.04,82.61
13.08,81.68
13.12,82.17
13.16,84.24
13.20,81.92
13.24,82.53
13.28,82.39
13.32,82.84
13.36,83.23
13.40,83.05
13.44,82.90
13.48,81.57
13.52,82.32
13.56,81.50
13.60,81.39
13.64,82.66
13.68,81.16
13.72,82.45
13.76,80.85
13.80,81.19
13.84,80.21
13.88,79.64
13.92,78.88
13.96,82.03
14.00,78.80
14.04,80.54
14.08,78.77
14.12,79.33
14.16,78.41
14.20,78.27
14.24,78.81
14.28,78.71
14.32,78.45
14.36,76.73
14.40,77.87
14.44,79.17
14.48,78.61
14.52,77.87
14.56,76.76
14.60,76.88
14.64,77.00
14.68,78.52
14.72,76.30
14.76,76.63
14.80,75.89
14.84,77.12
14.88,76.92
14.92,77.11
14.96,77.06
15.00,76.99
15.04,78.80
15.08,76.97
15.12,76.45
15.16,77.49
15.20,75.70
15.24,76.49
15.28,78.09
15.32,74.90
15.36,77.09
15.40,76.39
15.44,78.06
15.48,77.02
15.52,75.09
15.56,77.48
15.60,77.37
15.64,78.01
15.68,79.26
15.72,77.40
15.76,77.08
15.80,77.24
15.84,79.21
15.88,78.54
15.92,80.16
15.96,78.57
16.00,78.63
16.04,79.72
16.08,78.89
16.12,80.62
16.16,80.34
16.20,79.69
16.24,79.94
16.28,80.80
16.32,82.18
16.36,80.24
16.40,79.25
16.44,80.24
16.48,81.62
16.52,83.33
16.56,79.83
16.60,80.48
16.64,81.52
16.68,81.29
16.72,82.03
16.76,81.65
16.80,80.57
16.84,82.27
16.88,81.88
16.92,81.14
16.96,82.93
17.00,81.64
17.04,81.88
17.08,81.81
17.12,81.35
17.16,82.43
17.20,82.09
17.24,82.63
17.28,81.81
