# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,14.372,16.688,77.01,repaus,bun,1
0.0040,27.771,26.702,78.76,repaus,bun,1
0.0080,19.927,10.316,78.58,repaus,bun,1
0.0120,12.610,-0.691,78.41,repaus,bun,1
0.0160,0.824,-12.503,77.63,repaus,bun,1
0.0200,15.050,7.580,78.65,repaus,bun,1
0.0240,22.338,22.651,77.25,repaus,bun,1
0.0280,5.169,9.031,78.14,repaus,bun,1
0.0320,-9.582,-2.885,76.81,repaus,bun,1
0.0360,-31.710,-22.905,78.27,repaus,bun,1
0.0400,-25.890,-6.540,78.67,repaus,bun,1
0.0440,-13.853,8.029,78.03,repaus,bun,1
0.0480,-21.767,-4.312,77.26,repaus,bun,1
0.0520,-36.300,-19.235,77.47,repaus,bun,1
0.0560,-42.891,-35.922,78.09,repaus,bun,1
0.0600,-26.009,-24.226,76.98,repaus,bun,1
0.0640,-0.537,-5.693,77.59,repaus,bun,1
0.0680,-3.961,-6.901,77.73,repaus,bun,1
0.0720,-13.826,-13.403,76.15,repaus,bun,1
0.0760,-16.160,-27.997,77.74,repaus,bun,1
0.0800,1.934,-9.455,77.99,repaus,bun,1
0.0840,15.624,11.562,78.32,repaus,bun,1
0.0880,8.946,3.772,77.97,repaus,bun,1
0.0920,1.476,-12.690,77.17,repaus,bun,1
0.0960,-8.786,-20.400,78.27,repaus,bun,1
0.1000,0.122,-9.698,78.24,repaus,bun,1
0.1040,15.692,0.999,78.68,repaus,bun,1
0.1080,13.116,-9.875,77.13,repaus,bun,1
0.1120,-1.176,-26.597,80.01,repaus,bun,1
0.1160,-7.189,-38.360,79.42,repaus,bun,1
0.1200,5.150,-22.606,76.94,repaus,bun,1
0.1240,18.999,3.841,78.18,repaus,bun,1
0.1280,3.105,-0.124,77.73,repaus,bun,1
0.1320,-6.848,-6.962,78.21,repaus,bun,1
0.1360,-17.084,-26.036,78.35,repaus,bun,1
0.1400,-12.910,-0.934,77.66,repaus,bun,1
0.1440,-2.528,25.490,78.96,repaus,bun,1
0.1480,-10.033,6.539,77.64,repaus,bun,1
0.1520,-5.949,-3.711,79.89,repaus,bun,1
0.1560,-16.219,-18.046,77.43,repaus,bun,1
0.1600,3.215,0.163,80.26,repaus,bun,1
0.1640,19.005,20.661,79.73,repaus,bun,1
0.1680,13.240,16.804,78.62,repaus,bun,1
0.1720,10.170,10.769,78.92,repaus,bun,1
0.1760,6.899,-4.684,79.33,repaus,bun,1
0.1800,26.221,17.808,77.58,repaus,bun,1
0.1840,45.814,42.267,77.77,repaus,bun,1
0.1880,32.880,34.251,78.56,repaus,bun,1
0.1920,14.082,14.472,78.56,repaus,bun,1
0.1960,3.629,-2.019,80.28,repaus,bun,1
0.2000,19.476,9.032,77.60,repaus,bun,1
0.2040,25.972,19.063,80.10,repaus,bun,1
0.2080,12.210,-0.932,79.40,repaus,bun,1
0.2120,0.832,-21.025,76.61,repaus,bun,1
0.2160,-14.629,-39.071,78.64,repaus,bun,1
0.2200,2.783,-26.825,79.47,repaus,bun,1
0.2240,19.131,-6.755,78.99,repaus,bun,1
0.2280,2.322,-11.953,77.86,repaus,bun,1
0.2320,-9.942,-22.745,76.87,repaus,bun,1
0.2360,-26.886,-29.818,79.46,repaus,bun,1
0.2400,-13.940,-13.325,79.39,repaus,bun,1
0.2440,-1.179,8.081,78.73,repaus,bun,1
0.2480,-8.194,-7.960,79.81,repaus,bun,1
0.2520,-15.895,-21.792,77.99,repaus,bun,1
0.2560,-21.246,-39.463,78.41,repaus,bun,1
0.2600,-6.088,-24.684,78.52,repaus,bun,1
0.2640,6.554,-6.652,80.21,repaus,bun,1
0.2680,3.830,-12.953,77.94,repaus,bun,1
0.2720,-0.590,-23.460,79.00,repaus,bun,1
0.2760,-3.736,-34.208,77.98,repaus,bun,1
0.2800,14.269,-18.557,80.23,repaus,bun,1
0.2840,30.657,0.789,81.16,repaus,bun,1
0.2880,28.266,0.360,78.48,repaus,bun,1
0.2920,21.540,-15.114,79.78,repaus,bun,1
0.2960,7.912,-24.734,77.67,repaus,bun,1
0.3000,16.982,-10.470,78.45,repaus,bun,1
0.3040,40.493,10.620,78.85,repaus,bun,1
0.3080,25.154,-2.786,81.73,repaus,bun,1
0.3120,8.160,-24.285,80.17,repaus,bun,1
0.3160,-6.547,-25.844,77.64,repaus,bun,1
0.3200,10.549,-9.775,79.99,repaus,bun,1
0.3240,28.898,8.673,80.08,repaus,bun,1
0.3280,15.869,-1.859,80.36,repaus,bun,1
0.3320,0.233,-12.800,79.81,repaus,bun,1
0.3360,-11.434,-18.662,80.56,repaus,bun,1
0.3400,2.918,5.910,79.75,repaus,bun,1
0.3440,12.948,26.711,77.65,repaus,bun,1
0.3480,-0.799,18.642,80.06,repaus,bun,1
0.3520,-12.671,9.664,79.52,repaus,bun,1
0.3560,-19.493,-9.592,80.11,repaus,bun,1
0.3600,-1.220,7.932,78.78,repaus,bun,1
0.3640,17.371,20.294,78.28,repaus,bun,1
0.3680,8.679,-1.087,78.87,repaus,bun,1
0.3720,3.259,-15.155,78.05,repaus,bun,1
0.3760,-3.892,-25.046,79.92,repaus,bun,1
0.3800,14.459,-11.101,79.26,repaus,bun,1
0.3840,34.017,12.765,78.09,repaus,bun,1
0.3880,31.870,2.568,80.70,repaus,bun,1
0.3920,17.555,-12.805,81.88,repaus,bun,1
0.3960,4.755,-29.691,78.29,repaus,bun,1
0.4000,16.158,-5.921,79.42,repaus,bun,1
0.4040,25.476,6.495,79.34,repaus,bun,1
