# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,66.34
0.04,67.35
0.08,68.21
0.12,67.93
0.16,67.70
0.20,68.77
0.24,67.32
0.28,68.31
0.32,67.44
0.36,70.42
0.40,69.16
0.44,68.58
0.48,69.66
0.52,67.56
0.56,68.71
0.60,68.81
0.64,71.97
0.68,69.77
0.72,70.97
0.76,68.78
0.80,72.23
0.84,71.28
0.88,72.29
0.92,69.87
0.96,69.45
1.00,71.46
1.04,70.83
1.08,69.93
1.12,70.78
1.16,71.99
1.20,70.94
1.24,71.75
1.28,71.65
1.32,70.29
1.36,71.50
1.40,70.70
1.44,70.74
1.48,68.87
1.52,71.62
1.56,70.57
1.60,68.84
1.64,68.90
1.68,68.17
1.72,70.31
1.76,69.40
1.80,69.75
1.84,68.46
1.88,68.87
1.92,66.70
1.96,67.99
2.00,67.34
2.04,68.39
2.08,68.13
2.12,65.76
2.16,66.67
2.20,69.57
2.24,68.54
2.28,67.88
2.32,66.07
2.36,64.25
2.40,65.65
2.44,67.19
2.48,64.98
2.52,65.56
2.56,68.47
2.60,66.13
2.64,65.46
2.68,66.53
2.72,64.75
2.76,67.04
2.80,65.16
2.84,66.33
2.88,65.31
2.92,66.12
2.96,64.62
3.00,66.43
3.04,64.76
3.08,64.57
3.12,64.59
3.16,66.40
3.20,65.90
3.24,65.41
3.28,63.47
3.32,66.37
3.36,68.35
3.40,65.19
3.44,65.34
3.48,67.92
3.52,67.11
3.56,66.62
3.60,66.60
3.64,67.44
3.68,66.12
3.72,68.41
3.76,68.62
3.80,68.05
3.84,68.52
3.88,68.23
3.92,68.63
3.96,68.65
4.00,69.30
4.04,68.67
4.08,69.85
4.12,67.93
4.16,68.98
4.20,70.41
4.24,69.63
4.28,69.49
4.32,71.09
4.36,70.72
4.40,70.13
4.44,70.69
4.48,71.30
4.52,70.92
4.56,70.75
4.60,71.64
4.64,71.74
4.68,71.74
4.72,71.14
4.76,72.73
4.80,71.76
4.84,71.96
4.88,70.74
4.92,73.06
4.96,72.34
5.00,71.92
5.04,72.07
5.08,72.48
5.12,72.31
5.16,72.65
5.20,71.00
5.24,72.88
5.28,73.07
5.32,72.06
5.36,73.43
5.40,71.01
5.44,71.44
5.48,72.83
5.52,72.87
5.56,72.93
5.60,72.24
5.64,70.43
5.68,70.25
5.72,69.51
5.76,70.35
5.80,70.48
5.84,70.60
5.88,70.15
5.92,70.41
5.96,69.29
6.00,70.42
6.04,70.37
6.08,68.20
