# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,-5.966,-1.764,66.34,repaus,bun,1
0.0040,2.696,24.538,66.88,repaus,bun,1
0.0080,-4.375,11.081,66.90,repaus,bun,1
0.0120,-8.715,-6.274,67.24,repaus,bun,1
0.0160,-15.951,-14.801,67.92,repaus,bun,1
0.0200,4.482,7.997,67.85,repaus,bun,1
0.0240,26.878,24.198,67.40,repaus,bun,1
0.0280,22.561,14.166,67.51,repaus,bun,1
0.0320,14.954,2.384,67.32,repaus,bun,1
0.0360,3.669,-6.336,68.28,repaus,bun,1
0.0400,21.971,1.588,67.35,repaus,bun,1
0.0440,24.621,23.859,67.04,repaus,bun,1
0.0480,2.674,9.321,66.22,repaus,bun,1
0.0520,-9.283,2.375,68.38,repaus,bun,1
0.0560,-21.075,-12.588,66.12,repaus,bun,1
0.0600,-13.587,-0.814,67.45,repaus,bun,1
0.0640,-1.541,16.321,67.32,repaus,bun,1
0.0680,-14.936,-2.661,69.06,repaus,bun,1
0.0720,-26.795,-10.945,67.30,repaus,bun,1
0.0760,-36.178,-35.302,67.71,repaus,bun,1
0.0800,-19.112,-19.347,68.21,repaus,bun,1
0.0840,-7.271,-3.750,68.48,repaus,bun,1
0.0880,-12.595,-12.946,66.48,repaus,bun,1
0.0920,-20.551,-19.841,68.59,repaus,bun,1
0.0960,-23.806,-33.464,68.32,repaus,bun,1
0.1000,-10.905,-4.982,67.63,repaus,bun,1
0.1040,2.587,6.836,68.36,repaus,bun,1
0.1080,-1.994,-4.461,67.39,repaus,bun,1
0.1120,-1.009,-10.954,67.83,repaus,bun,1
0.1160,-2.655,-26.294,67.40,repaus,bun,1
0.1200,12.350,-20.447,67.93,repaus,bun,1
0.1240,24.002,7.845,67.92,repaus,bun,1
0.1280,14.831,-3.343,68.15,repaus,bun,1
0.1320,11.890,-8.275,68.13,repaus,bun,1
0.1360,2.283,-19.094,66.81,repaus,bun,1
0.1400,12.157,-0.522,66.99,repaus,bun,1
0.1440,17.655,22.390,68.71,repaus,bun,1
0.1480,8.002,14.028,67.96,repaus,bun,1
0.1520,-1.473,5.345,68.33,repaus,bun,1
0.1560,-15.829,-10.808,68.40,repaus,bun,1
0.1600,-7.801,7.846,67.70,repaus,bun,1
0.1640,6.347,24.983,67.11,repaus,bun,1
0.1680,-11.431,9.012,67.17,repaus,bun,1
0.1720,-27.367,6.125,68.66,repaus,bun,1
0.1760,-29.876,-18.817,68.02,repaus,bun,1
0.1800,-16.181,-9.505,67.71,repaus,bun,1
0.1840,-0.849,10.464,68.09,repaus,bun,1
0.1880,-16.247,5.105,69.02,repaus,bun,1
0.1920,-18.974,-2.681,67.11,repaus,bun,1
0.1960,-31.162,-7.146,69.14,repaus,bun,1
0.2000,-10.999,8.831,68.77,repaus,bun,1
0.2040,8.168,30.267,68.83,repaus,bun,1
0.2080,-0.841,16.228,67.55,repaus,bun,1
0.2120,-10.340,6.799,68.68,repaus,bun,1
0.2160,-18.802,-6.237,68.83,repaus,bun,1
0.2200,-9.780,18.933,68.34,repaus,bun,1
0.2240,12.866,30.575,69.11,repaus,bun,1
0.2280,6.483,12.607,66.99,repaus,bun,1
0.2320,-0.920,-2.500,68.34,repaus,bun,1
0.2360,-8.151,-21.840,68.40,repaus,bun,1
0.2400,4.852,-6.812,67.32,repaus,bun,1
0.2440,19.415,21.582,67.53,repaus,bun,1
0.2480,1.681,9.575,69.79,repaus,bun,1
0.2520,-12.851,15.290,68.07,repaus,bun,1
0.2560,-28.352,-7.778,68.05,repaus,bun,1
0.2600,-24.618,13.144,69.43,repaus,bun,1
