# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,72.34
0.04,73.08
0.08,72.18
0.12,74.71
0.16,72.47
0.20,73.42
0.24,73.37
0.28,74.16
0.32,73.62
0.36,72.90
0.40,76.15
0.44,74.60
0.48,73.66
0.52,76.45
0.56,74.45
0.60,73.47
0.64,75.69
0.68,73.47
0.72,76.50
0.76,74.85
0.80,75.84
0.84,75.78
0.88,75.01
0.92,74.67
0.96,76.01
1.00,75.03
1.04,76.24
1.08,76.29
1.12,75.29
1.16,75.22
1.20,75.67
1.24,74.41
1.28,75.21
1.32,76.11
1.36,75.36
1.40,75.47
1.44,74.32
1.48,73.45
1.52,76.22
1.56,74.31
1.60,75.04
1.64,72.80
1.68,73.94
1.72,74.56
1.76,74.28
1.80,72.91
1.84,72.43
1.88,72.98
1.92,72.68
1.96,73.27
2.00,72.54
2.04,73.40
2.08,73.51
2.12,71.52
2.16,72.55
2.20,71.07
2.24,71.92
2.28,71.87
2.32,71.25
2.36,71.46
2.40,72.43
2.44,70.47
2.48,71.00
2.52,71.35
2.56,70.33
2.60,70.37
2.64,70.13
2.68,71.03
2.72,69.60
2.76,71.54
2.80,71.39
2.84,70.93
2.88,70.54
2.92,72.21
2.96,70.70
3.00,69.66
3.04,69.86
3.08,70.48
3.12,71.31
3.16,71.94
3.20,69.36
3.24,71.41
3.28,68.77
3.32,71.27
3.36,70.64
3.40,70.99
3.44,69.05
3.48,70.57
3.52,70.93
3.56,73.16
3.60,70.60
3.64,72.30
3.68,71.26
3.72,71.93
3.76,70.18
3.80,72.61
3.84,72.42
3.88,73.28
3.92,73.67
3.96,73.61
4.00,73.77
4.04,72.67
4.08,74.13
4.12,74.72
4.16,74.29
4.20,73.67
4.24,74.42
4.28,75.94
4.32,73.91
4.36,73.42
4.40,76.43
4.44,75.94
4.48,76.07
4.52,74.12
4.56,76.89
4.60,75.79
4.64,77.00
4.68,76.52
4.72,76.80
4.76,76.81
4.80,76.06
4.84,76.39
4.88,76.24
4.92,77.56
4.96,78.42
5.00,76.11
5.04,78.41
5.08,76.34
5.12,76.02
