# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,10.244,-5.470,72.34,repaus,bun,1
0.0040,20.566,19.051,72.41,repaus,bun,1
0.0080,8.406,9.477,71.38,repaus,bun,1
0.0120,-6.541,-6.397,70.79,repaus,bun,1
0.0160,-21.057,-11.350,72.02,repaus,bun,1
0.0200,-11.423,8.728,72.38,repaus,bun,1
0.0240,0.577,25.164,72.56,repaus,bun,1
0.0280,-6.787,8.715,72.84,repaus,bun,1
0.0320,-20.563,-3.332,72.28,repaus,bun,1
0.0360,-30.830,-15.476,72.46,repaus,bun,1
0.0400,-17.404,-4.510,73.08,repaus,bun,1
0.0440,1.562,11.360,72.65,repaus,bun,1
0.0480,-7.747,0.998,72.94,repaus,bun,1
0.0520,-21.035,-16.587,72.25,repaus,bun,1
0.0560,-31.276,-36.995,72.41,repaus,bun,1
0.0600,-18.815,-8.042,71.07,repaus,bun,1
0.0640,1.269,16.345,72.61,repaus,bun,1
0.0680,0.076,-0.798,71.84,repaus,bun,1
0.0720,-1.430,-16.491,72.76,repaus,bun,1
0.0760,-5.879,-29.918,72.91,repaus,bun,1
0.0800,8.340,-9.817,72.18,repaus,bun,1
0.0840,37.480,8.686,72.64,repaus,bun,1
0.0880,30.467,0.837,72.20,repaus,bun,1
0.0920,27.355,-16.796,72.23,repaus,bun,1
0.0960,14.292,-30.339,72.70,repaus,bun,1
0.1000,22.981,-10.710,72.31,repaus,bun,1
0.1040,34.552,9.710,72.26,repaus,bun,1
0.1080,17.707,0.042,75.29,repaus,bun,1
0.1120,-0.024,-10.189,72.63,repaus,bun,1
0.1160,-17.570,-12.904,71.99,repaus,bun,1
0.1200,-0.503,8.238,74.71,repaus,bun,1
0.1240,-0.507,30.853,74.27,repaus,bun,1
0.1280,-7.086,23.236,73.38,repaus,bun,1
0.1320,-21.621,10.094,72.46,repaus,bun,1
0.1360,-32.218,0.697,73.39,repaus,bun,1
0.1400,-15.258,21.805,73.81,repaus,bun,1
0.1440,3.817,32.789,72.34,repaus,bun,1
0.1480,-2.366,16.466,71.86,repaus,bun,1
0.1520,-16.381,8.851,71.42,repaus,bun,1
0.1560,-21.097,-2.709,72.89,repaus,bun,1
0.1600,-13.383,17.265,72.47,repaus,bun,1
0.1640,3.741,39.242,73.49,repaus,bun,1
0.1680,-0.780,19.570,71.75,repaus,bun,1
0.1720,-0.154,15.890,71.36,repaus,bun,1
0.1760,-11.506,-0.200,71.15,repaus,bun,1
0.1800,9.193,22.555,71.83,repaus,bun,1
0.1840,27.839,33.715,71.81,repaus,bun,1
0.1880,18.301,17.650,72.97,repaus,bun,1
0.1920,11.189,3.209,72.29,repaus,bun,1
0.1960,0.755,-17.659,72.96,repaus,bun,1
0.2000,10.120,-0.555,73.42,repaus,bun,1
0.2040,29.433,17.360,73.60,repaus,bun,1
0.2080,15.839,4.636,74.04,repaus,bun,1
0.2120,-0.749,-7.658,72.54,repaus,bun,1
0.2160,-20.328,-9.787,74.60,repaus,bun,1
0.2200,-14.575,6.443,73.87,repaus,bun,1
0.2240,-1.444,29.475,73.66,repaus,bun,1
0.2280,-11.390,20.268,72.91,repaus,bun,1
0.2320,-17.100,5.050,73.44,repaus,bun,1
0.2360,-25.049,-10.913,73.43,repaus,bun,1
0.2400,-13.519,9.892,73.37,repaus,bun,1
0.2440,8.598,18.149,72.86,repaus,bun,1
0.2480,-0.810,5.970,74.36,repaus,bun,1
0.2520,-10.176,-2.713,73.01,repaus,bun,1
