# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,72.22
0.04,71.02
0.08,72.40
0.12,71.41
0.16,71.69
0.20,71.75
0.24,72.21
0.28,73.31
0.32,72.12
0.36,71.91
0.40,71.84
0.44,74.29
0.48,73.72
0.52,72.69
0.56,72.92
0.60,74.28
0.64,73.19
0.68,75.09
0.72,71.30
0.76,74.22
0.80,72.96
0.84,74.29
0.88,74.94
0.92,73.94
0.96,74.22
1.00,73.23
1.04,74.92
1.08,74.76
1.12,73.72
1.16,74.80
1.20,74.81
1.24,74.38
1.28,73.83
1.32,73.56
1.36,73.65
1.40,74.95
1.44,75.12
1.48,76.05
1.52,74.36
1.56,73.17
1.60,73.33
1.64,74.14
1.68,73.51
1.72,74.02
1.76,71.43
1.80,72.47
1.84,72.01
1.88,70.84
1.92,73.07
1.96,71.38
2.00,71.45
2.04,71.56
2.08,71.52
2.12,70.33
2.16,71.75
2.20,70.29
2.24,69.34
2.28,69.21
2.32,70.43
2.36,70.71
2.40,69.27
2.44,69.94
2.48,70.44
2.52,70.35
2.56,70.75
2.60,68.98
2.64,70.10
2.68,66.99
2.72,69.09
2.76,68.30
2.80,68.25
2.84,69.78
2.88,68.64
2.92,68.21
2.96,70.59
3.00,70.38
3.04,67.89
3.08,68.95
3.12,68.40
3.16,69.70
3.20,69.45
3.24,69.18
3.28,68.86
3.32,72.41
3.36,68.99
3.40,68.99
3.44,68.96
3.48,69.46
3.52,70.10
3.56,70.91
3.60,70.65
3.64,70.09
3.68,70.20
3.72,71.97
3.76,71.84
3.80,70.42
3.84,73.12
3.88,72.66
3.92,71.72
3.96,72.32
4.00,72.42
4.04,71.78
4.08,73.86
4.12,73.13
4.16,73.88
4.20,73.27
4.24,74.14
4.28,73.55
4.32,74.50
4.36,72.71
4.40,73.99
4.44,73.30
4.48,74.48
4.52,75.64
4.56,76.80
4.60,77.13
4.64,75.40
4.68,76.10
4.72,75.99
4.76,76.55
4.80,73.90
4.84,75.12
4.88,75.90
4.92,76.11
4.96,75.58
5.00,75.59
5.04,79.02
5.08,74.49
5.12,77.06
5.16,77.26
5.20,74.81
5.24,77.14
5.28,75.58
5.32,75.42
5.36,75.55
5.40,77.14
5.44,74.78
5.48,75.93
5.52,72.80
5.56,75.70
5.60,73.87
5.64,73.90
5.68,74.33
5.72,74.15
5.76,74.95
5.80,75.09
5.84,75.60
5.88,73.14
5.92,72.55
5.96,72.08
6.00,73.79
6.04,74.52
6.08,72.84
6.12,73.25
6.16,71.85
6.20,72.24
6.24,72.06
6.28,71.35
6.32,71.65
6.36,71.29
6.40,72.15
6.44,71.48
6.48,71.54
6.52,71.58
6.56,71.52
6.60,72.54
6.64,72.83
6.68,70.01
6.72,70.91
6.76,70.85
6.80,70.85
6.84,68.51
6.88,69.85
6.92,70.50
6.96,71.22
7.00,71.84
7.04,72.15
7.08,71.68
7.12,70.67
7.16,70.36
7.20,69.29
7.24,70.70
7.28,70.81
7.32,71.23
7.36,72.57
7.40,72.61
7.44,71.32
7.48,69.79
7.52,72.91
7.56,72.34
7.60,72.06
7.64,73.27
7.68,73.23
7.72,70.30
7.76,72.69
7.80,72.60
7.84,72.92
7.88,72.27
7.92,71.56
7.96,75.12
8.00,73.36
8.04,74.22
8.08,74.69
8.12,74.53
8.16,73.93
8.20,74.66
8.24,74.50
8.28,73.22
8.32,73.68
8.36,74.41
8.40,76.35
8.44,74.76
8.48,76.76
8.52,77.21
8.56,76.93
8.60,73.93
8.64,74.85
8.68,76.71
8.72,76.42
8.76,77.11
8.80,76.16
8.84,76.03
8.88,75.96
8.92,77.01
8.96,75.00
9.00,75.11
9.04,76.57
9.08,77.31
9.12,77.19
9.16,75.66
9.20,76.21
9.24,75.91
9.28,78.39
9.32,76.05
9.36,75.75
9.40,77.05
9.44,74.10
9.48,74.68
9.52,75.66
9.56,74.04
9.60,74.69
9.64,77.01
9.68,76.87
9.72,77.16
9.76,75.32
9.80,75.77
9.84,75.37
9.88,72.79
9.92,74.26
9.96,72.99
10.00,74.29
10.04,72.38
10.08,72.65
10.12,74.35
10.16,75.42
10.20,72.59
10.24,71.24
10.28,72.27
10.32,73.69
10.36,73.43
10.40,70.68
10.44,72.77
10.48,71.19
10.52,72.39
10.56,70.29
10.60,69.14
10.64,71.28
10.68,72.03
10.72,69.70
10.76,70.28
10.80,70.82
10.84,70.34
10.88,70.07
10.92,71.47
10.96,71.00
11.00,69.38
11.04,69.77
11.08,69.59
11.12,72.53
11.16,70.40
11.20,70.59
11.24,71.20
11.28,70.00
11.32,73.07
11.36,70.41
11.40,72.03
11.44,71.56
11.48,73.11
11.52,73.00
11.56,70.14
11.60,71.68
11.64,71.62
11.68,71.19
11.72,71.02
11.76,71.98
11.80,73.00
11.84,73.13
11.88,72.73
11.92,71.57
11.96,73.83
12.00,73.18
12.04,73.84
12.08,75.50
12.12,75.56
12.16,74.81
12.20,74.24
12.24,75.08
12.28,76.77
12.32,75.81
12.36,74.91
12.40,75.58
12.44,75.29
12.48,74.95
12.52,76.97
12.56,76.04
12.60,76.00
12.64,76.33
12.68,75.04
12.72,75.42
12.76,77.14
12.80,76.45
12.84,77.63
12.88,77.55
12.92,75.18
12.96,75.87
13.00,75.97
13.04,75.73
13.08,75.92
13.12,75.69
13.16,77.32
13.20,76.50
13.24,75.24
13.28,75.65
13.32,76.18
13.36,75.85
13.40,75.19
13.44,76.97
13.48,75.52
