# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,-10.528,14.762,72.22,repaus,bun,1
0.0040,3.168,30.584,71.85,repaus,bun,1
0.0080,-7.903,27.358,71.27,repaus,bun,1
0.0120,-13.928,17.577,71.93,repaus,bun,1
0.0160,-19.096,2.376,71.80,repaus,bun,1
0.0200,-0.879,14.747,71.07,repaus,bun,1
0.0240,15.736,27.535,72.57,repaus,bun,1
0.0280,17.766,21.038,71.30,repaus,bun,1
0.0320,14.099,1.842,71.54,repaus,bun,1
0.0360,7.257,-17.903,71.71,repaus,bun,1
0.0400,21.953,4.789,71.02,repaus,bun,1
0.0440,33.416,12.247,71.10,repaus,bun,1
0.0480,21.128,10.287,71.78,repaus,bun,1
0.0520,1.783,-2.720,71.49,repaus,bun,1
0.0560,-9.806,-12.809,70.48,repaus,bun,1
0.0600,3.016,0.647,70.60,repaus,bun,1
0.0640,6.799,13.328,73.02,repaus,bun,1
0.0680,-5.155,4.646,72.09,repaus,bun,1
0.0720,-14.848,-9.111,70.49,repaus,bun,1
0.0760,-24.058,-23.326,71.60,repaus,bun,1
0.0800,-12.985,-9.075,72.40,repaus,bun,1
0.0840,5.179,6.618,69.51,repaus,bun,1
0.0880,1.394,-5.097,73.07,repaus,bun,1
0.0920,-2.309,-20.630,71.27,repaus,bun,1
0.0960,-7.001,-38.898,72.63,repaus,bun,1
0.1000,7.611,-13.942,70.67,repaus,bun,1
0.1040,17.580,10.782,72.40,repaus,bun,1
0.1080,9.333,-4.804,72.81,repaus,bun,1
0.1120,-4.753,-9.053,72.10,repaus,bun,1
0.1160,-8.776,-12.526,71.37,repaus,bun,1
0.1200,10.843,-0.858,71.41,repaus,bun,1
0.1240,31.957,12.900,72.87,repaus,bun,1
0.1280,17.761,4.063,70.55,repaus,bun,1
0.1320,5.687,-6.850,71.62,repaus,bun,1
0.1360,-4.726,-23.388,70.56,repaus,bun,1
