# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,68.15
0.04,68.76
0.08,69.27
0.12,67.42
0.16,69.96
0.20,70.33
0.24,68.96
0.28,69.06
0.32,70.81
0.36,69.03
0.40,72.10
0.44,71.62
0.48,69.66
0.52,71.04
0.56,70.99
0.60,72.06
0.64,71.22
0.68,73.61
0.72,72.35
0.76,69.94
0.80,72.43
0.84,72.01
0.88,70.72
0.92,71.46
0.96,72.12
1.00,70.74
1.04,72.03
1.08,70.68
1.12,69.45
1.16,71.18
1.20,72.28
1.24,72.07
1.28,72.53
1.32,70.62
1.36,70.77
1.40,70.73
1.44,72.11
1.48,72.23
1.52,71.07
1.56,72.26
1.60,71.38
1.64,70.85
1.68,70.30
1.72,70.69
1.76,70.18
1.80,69.23
1.84,69.84
1.88,69.27
1.92,68.63
1.96,70.24
2.00,69.11
2.04,68.62
2.08,68.00
2.12,68.45
2.16,68.32
2.20,67.19
2.24,68.82
2.28,67.59
2.32,70.01
2.36,68.58
2.40,69.50
2.44,67.64
2.48,67.91
2.52,67.99
2.56,67.13
2.60,67.32
2.64,66.20
2.68,68.36
2.72,67.28
2.76,65.03
2.80,65.18
2.84,66.27
2.88,65.84
2.92,66.16
2.96,66.90
3.00,65.99
3.04,66.73
3.08,66.01
3.12,66.52
3.16,67.92
3.20,66.32
3.24,67.44
3.28,66.71
3.32,68.68
3.36,66.38
3.40,67.69
3.44,66.80
3.48,68.93
3.52,67.06
3.56,67.84
3.60,68.44
3.64,69.22
3.68,68.40
3.72,67.51
3.76,69.45
3.80,70.23
3.84,67.78
3.88,69.17
3.92,70.20
3.96,70.60
4.00,71.21
4.04,72.17
4.08,72.01
4.12,70.63
4.16,71.18
4.20,70.41
4.24,72.45
4.28,71.16
4.32,69.20
4.36,72.75
4.40,70.02
4.44,74.48
4.48,72.07
4.52,72.32
4.56,74.83
4.60,73.60
4.64,72.02
4.68,71.76
4.72,71.40
4.76,73.03
4.80,73.98
4.84,73.75
4.88,73.93
4.92,75.05
4.96,72.34
5.00,73.46
5.04,73.44
5.08,71.57
5.12,71.64
5.16,72.84
5.20,72.81
5.24,72.54
5.28,73.33
5.32,72.01
5.36,73.49
5.40,72.30
5.44,73.32
5.48,72.75
5.52,73.65
5.56,71.29
5.60,72.20
5.64,70.94
5.68,72.07
5.72,72.59
5.76,73.19
5.80,70.98
5.84,70.41
5.88,70.89
5.92,70.74
5.96,70.71
6.00,70.66
6.04,70.26
6.08,70.36
6.12,70.64
6.16,69.98
6.20,69.74
6.24,69.88
6.28,71.23
6.32,68.32
6.36,68.10
6.40,67.66
6.44,69.97
6.48,68.63
6.52,67.62
6.56,68.33
6.60,68.50
6.64,68.64
6.68,69.53
6.72,67.51
6.76,70.23
6.80,68.34
6.84,67.43
6.88,67.06
6.92,69.20
6.96,67.18
7.00,68.52
7.04,68.25
7.08,68.28
7.12,67.22
7.16,68.48
7.20,67.85
7.24,67.63
7.28,69.09
7.32,68.60
7.36,68.98
7.40,68.15
7.44,70.74
7.48,69.99
7.52,68.32
7.56,68.89
7.60,67.37
7.64,67.57
7.68,70.20
7.72,69.35
