# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,21.260,3.214,68.15,repaus,bun,1
0.0040,29.708,15.918,67.91,repaus,bun,1
0.0080,19.243,3.882,68.96,repaus,bun,1
0.0120,5.632,0.815,67.65,repaus,bun,1
0.0160,-3.003,-15.951,69.40,repaus,bun,1
0.0200,10.296,-0.373,68.47,repaus,bun,1
0.0240,20.307,18.827,68.23,repaus,bun,1
0.0280,11.972,12.363,68.92,repaus,bun,1
0.0320,-5.100,9.008,67.46,repaus,bun,1
0.0360,-21.794,-0.216,68.41,repaus,bun,1
0.0400,-16.015,21.170,68.76,repaus,bun,1
0.0440,-9.543,33.200,67.61,repaus,bun,1
0.0480,-17.241,19.703,67.70,repaus,bun,1
0.0520,-29.948,5.178,68.42,repaus,bun,1
0.0560,-28.569,-3.852,67.46,repaus,bun,1
0.0600,-18.468,14.066,68.75,repaus,bun,1
0.0640,-7.106,25.650,68.77,repaus,bun,1
0.0680,-4.643,12.168,68.49,repaus,bun,1
0.0720,-10.592,6.148,67.99,repaus,bun,1
0.0760,-14.591,-7.774,68.57,repaus,bun,1
0.0800,5.472,14.338,69.27,repaus,bun,1
0.0840,23.820,37.698,69.38,repaus,bun,1
0.0880,12.698,24.210,68.30,repaus,bun,1
0.0920,0.233,10.215,69.80,repaus,bun,1
0.0960,-8.033,-4.276,68.95,repaus,bun,1
0.1000,3.677,10.453,70.32,repaus,bun,1
0.1040,16.209,25.572,69.24,repaus,bun,1
0.1080,10.642,9.548,69.56,repaus,bun,1
0.1120,-1.248,-1.388,69.85,repaus,bun,1
0.1160,-13.438,-13.251,68.25,repaus,bun,1
0.1200,1.256,-3.023,67.42,repaus,bun,1
0.1240,12.683,10.007,68.89,repaus,bun,1
0.1280,-0.210,-8.192,69.49,repaus,bun,1
0.1320,-7.265,-22.529,68.24,repaus,bun,1
0.1360,-20.933,-26.740,67.70,repaus,bun,1
0.1400,-15.834,-0.047,69.19,repaus,bun,1
0.1440,-5.844,14.777,70.17,repaus,bun,1
0.1480,-12.699,-1.387,68.20,repaus,bun,1
0.1520,-21.841,-13.061,67.14,repaus,bun,1
0.1560,-30.514,-26.192,70.60,repaus,bun,1
0.1600,-10.045,-14.514,69.96,repaus,bun,1
0.1640,11.883,-1.928,69.19,repaus,bun,1
0.1680,6.103,-13.804,67.92,repaus,bun,1
0.1720,2.745,-18.029,69.76,repaus,bun,1
0.1760,-1.114,-24.977,68.83,repaus,bun,1
0.1800,15.833,-3.495,68.86,repaus,bun,1
0.1840,33.433,13.622,68.17,repaus,bun,1
0.1880,26.987,6.102,68.66,repaus,bun,1
0.1920,17.039,3.257,70.30,repaus,bun,1
0.1960,5.915,-1.454,69.39,repaus,bun,1
0.2000,19.364,19.751,70.33,repaus,bun,1
0.2040,25.784,34.193,67.87,repaus,bun,1
0.2080,18.753,25.568,68.90,repaus,bun,1
0.2120,-1.998,1.003,68.34,repaus,bun,1
0.2160,-20.381,-11.339,67.31,repaus,bun,1
0.2200,-9.793,3.962,69.30,repaus,bun,1
0.2240,2.082,14.208,69.05,repaus,bun,1
0.2280,-20.154,0.108,68.65,repaus,bun,1
0.2320,-27.605,-5.703,70.13,repaus,bun,1
0.2360,-37.743,-23.249,69.84,repaus,bun,1
0.2400,-15.677,-6.547,68.96,repaus,bun,1
0.2440,-6.447,20.127,70.09,repaus,bun,1
0.2480,-23.325,6.599,68.22,repaus,bun,1
0.2520,-29.741,-4.439,68.55,repaus,bun,1
0.2560,-38.466,-17.834,69.34,repaus,bun,1
0.2600,-22.743,-4.068,69.07,repaus,bun,1
0.2640,-1.838,8.545,69.66,repaus,bun,1
0.2680,-13.465,0.973,71.69,repaus,bun,1
0.2720,-15.544,-9.236,69.23,repaus,bun,1
0.2760,-11.614,-24.087,69.54,repaus,bun,1
0.2800,8.762,-8.154,69.06,repaus,bun,1
0.2840,23.610,7.151,68.32,repaus,bun,1
0.2880,19.821,3.723,67.83,repaus,bun,1
0.2920,14.606,-0.944,71.54,repaus,bun,1
0.2960,-1.703,-15.957,69.86,repaus,bun,1
0.3000,11.396,-3.921,72.16,repaus,bun,1
0.3040,22.051,17.948,71.13,repaus,bun,1
0.3080,14.209,9.146,69.75,repaus,bun,1
0.3120,0.059,0.894,71.15,repaus,bun,1
0.3160,-13.842,-14.250,70.79,repaus,bun,1
0.3200,-4.217,-0.916,70.81,repaus,bun,1
0.3240,7.849,15.658,69.05,repaus,bun,1
0.3280,5.046,-0.412,70.48,repaus,bun,1
0.3320,-10.360,-13.253,69.13,repaus,bun,1
0.3360,-21.252,-16.083,70.46,repaus,bun,1
0.3400,-7.699,-1.650,70.49,repaus,bun,1
0.3440,3.477,19.148,68.31,repaus,bun,1
0.3480,-5.595,12.073,69.58,repaus,bun,1
0.3520,-8.484,-1.963,70.40,repaus,bun,1
0.3560,-20.614,-7.510,71.06,repaus,bun,1
0.3600,-2.345,8.986,69.03,repaus,bun,1
0.3640,10.712,39.672,70.50,repaus,bun,1
0.3680,7.168,26.603,68.20,repaus,bun,1
0.3720,-0.525,7.205,69.57,repaus,bun,1
0.3760,-0.490,-5.642,70.40,repaus,bun,1
0.3800,10.554,11.574,69.27,repaus,bun,1
0.3840,25.785,28.742,70.25,repaus,bun,1
0.3880,22.149,19.086,70.34,repaus,bun,1
0.3920,17.591,5.929,69.51,repaus,bun,1
0.3960,6.362,5.877,70.59,repaus,bun,1
0.4000,16.918,35.591,72.10,repaus,bun,1
0.4040,23.909,55.132,70.10,repaus,bun,1
0.4080,3.378,52.447,68.85,repaus,bun,1
0.4120,-9.513,35.987,71.13,repaus,bun,1
0.4160,-27.009,26.231,68.39,repaus,bun,1
0.4200,-24.851,41.774,72.73,repaus,bun,1
0.4240,-10.223,61.110,69.07,repaus,bun,1
0.4280,-24.485,46.631,70.45,repaus,bun,1
0.4320,-30.983,41.604,71.37,repaus,bun,1
0.4360,-39.898,34.631,70.14,repaus,bun,1
0.4400,-26.214,49.710,71.62,repaus,bun,1
0.4440,-7.553,68.112,70.83,repaus,bun,1
0.4480,-12.553,70.182,70.16,repaus,bun,1
0.4520,-13.820,65.534,71.36,repaus,bun,1
0.4560,-17.179,62.273,70.26,repaus,bun,1
0.4600,-1.744,89.529,69.11,repaus,bun,1
0.4640,11.199,115.790,70.28,repaus,bun,1
0.4680,3.944,108.143,69.51,repaus,bun,1
0.4720,-1.094,107.081,69.96,repaus,bun,1
0.4760,-5.752,93.408,70.76,repaus,bun,1
0.4800,12.282,120.581,69.66,repaus,bun,1
0.4840,25.704,142.074,70.05,repaus,bun,1
0.4880,25.583,132.801,70.33,repaus,bun,1
0.4920,17.538,134.891,71.50,repaus,bun,1
0.4960,7.362,130.229,69.72,repaus,bun,1
0.5000,18.044,141.075,71.66,repaus,bun,1
0.5040,30.800,161.446,70.71,repaus,bun,1
0.5080,15.262,155.789,72.41,repaus,bun,1
0.5120,-2.199,154.743,70.64,repaus,bun,1
0.5160,-9.279,136.919,71.43,repaus,bun,1
0.5200,-2.853,154.091,71.04,repaus,bun,1
0.5240,2.651,173.158,69.87,repaus,bun,1
0.5280,-10.199,160.543,71.64,repaus,bun,1
0.5320,-25.801,144.487,70.66,repaus,bun,1
0.5360,-30.947,129.965,71.04,repaus,bun,1
0.5400,-25.538,144.341,69.66,repaus,bun,1
0.5440,-4.243,157.657,70.54,repaus,bun,1
0.5480,-8.350,146.636,70.81,repaus,bun,1
0.5520,-15.178,129.632,70.59,repaus,bun,1
0.5560,-19.304,115.748,70.77,repaus,bun,1
0.5600,0.378,124.643,70.99,repaus,bun,1
0.5640,16.164,143.415,69.95,repaus,bun,1
0.5680,1.887,125.418,71.82,repaus,bun,1
0.5720,-4.501,108.359,71.07,repaus,bun,1
0.5760,-15.907,85.902,72.41,repaus,bun,1
0.5800,1.688,98.401,70.37,repaus,bun,1
0.5840,11.554,103.964,69.82,repaus,bun,1
0.5880,7.000,78.973,71.07,repaus,bun,1
0.5920,-4.905,61.561,71.23,repaus,bun,1
0.5960,-13.822,42.706,70.52,repaus,bun,1
0.6000,-1.020,52.824,72.06,repaus,bun,1
0.6040,12.792,67.332,71.08,repaus,bun,1
0.6080,-0.351,50.300,70.60,repaus,bun,1
0.6120,-8.120,28.408,70.43,repaus,bun,1
0.6160,-27.037,12.162,70.64,repaus,bun,1
0.6200,-17.308,24.133,71.28,repaus,bun,1
0.6240,-3.486,31.114,70.43,repaus,bun,1
0.6280,-14.299,4.659,71.06,repaus,bun,1
0.6320,-32.755,-8.272,71.47,repaus,bun,1
0.6360,-38.932,-24.899,71.58,repaus,bun,1
0.6400,-24.664,-19.669,71.22,repaus,bun,1
0.6440,-8.003,-1.338,69.42,repaus,bun,1
0.6480,-9.936,-15.258,70.40,repaus,bun,1
0.6520,-13.172,-23.445,71.56,repaus,bun,1
0.6560,-16.431,-35.012,70.90,repaus,bun,1
0.6600,5.122,-9.975,72.49,repaus,bun,1
0.6640,19.295,20.150,71.13,repaus,bun,1
0.6680,16.682,13.365,71.76,repaus,bun,1
0.6720,11.576,0.847,71.69,repaus,bun,1
0.6760,2.844,-13.898,70.43,repaus,bun,1
0.6800,13.001,1.001,73.61,repaus,bun,1
0.6840,26.253,16.159,71.87,repaus,bun,1
0.6880,11.979,9.192,72.18,repaus,bun,1
0.6920,2.688,0.395,73.43,repaus,bun,1
0.6960,-9.681,-16.200,72.27,repaus,bun,1
0.7000,2.063,-1.319,71.86,repaus,bun,1
0.7040,7.400,18.049,70.87,repaus,bun,1
0.7080,-1.583,16.926,69.87,repaus,bun,1
0.7120,-10.384,5.998,72.04,repaus,bun,1
0.7160,-36.130,-0.576,71.01,repaus,bun,1
0.7200,-26.440,14.161,72.35,repaus,bun,1
