# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,bpm
0.00,77.66
0.04,77.87
0.08,78.98
0.12,78.62
0.16,79.46
0.20,79.74
0.24,80.35
0.28,79.30
0.32,80.26
0.36,81.74
0.40,80.44
0.44,80.65
0.48,79.06
0.52,80.38
0.56,82.09
0.60,80.28
0.64,80.19
0.68,81.50
0.72,82.26
0.76,80.64
0.80,82.79
0.84,82.06
0.88,84.10
0.92,80.88
0.96,82.28
1.00,80.63
1.04,83.49
1.08,81.31
1.12,81.00
1.16,82.42
1.20,82.26
1.24,82.96
1.28,82.64
1.32,81.85
1.36,80.65
1.40,80.53
1.44,80.28
1.48,81.88
1.52,80.41
1.56,81.05
1.60,81.58
1.64,79.78
1.68,80.64
1.72,79.05
1.76,80.84
1.80,81.28
1.84,80.66
1.88,78.86
1.92,79.27
1.96,79.81
2.00,79.04
2.04,79.99
2.08,79.16
2.12,77.99
2.16,78.22
2.20,78.24
2.24,78.28
2.28,77.64
2.32,78.31
2.36,77.77
2.40,76.23
2.44,77.81
2.48,77.82
2.52,76.87
2.56,78.39
2.60,75.78
2.64,78.07
2.68,77.23
2.72,77.03
2.76,77.23
2.80,77.37
2.84,76.43
2.88,76.44
2.92,76.86
2.96,76.01
3.00,74.71
3.04,77.53
3.08,76.87
3.12,76.37
3.16,76.43
3.20,78.57
3.24,77.66
3.28,77.45
3.32,79.17
3.36,78.02
3.40,76.93
3.44,77.59
3.48,76.72
3.52,77.96
3.56,77.91
3.60,76.88
3.64,77.59
3.68,78.38
3.72,78.38
3.76,77.35
3.80,78.37
3.84,79.33
3.88,79.54
3.92,79.10
3.96,80.37
4.00,80.00
4.04,79.72
4.08,81.22
4.12,79.63
4.16,79.82
4.20,80.32
4.24,81.52
4.28,80.71
4.32,81.21
4.36,81.37
4.40,82.06
4.44,81.99
4.48,81.50
4.52,80.90
4.56,81.84
4.60,83.77
4.64,82.35
4.68,82.86
4.72,82.16
4.76,84.54
4.80,81.93
4.84,83.59
4.88,82.41
4.92,81.28
4.96,81.16
5.00,82.86
5.04,82.48
5.08,82.13
5.12,82.48
5.16,82.26
5.20,83.58
5.24,85.05
5.28,82.26
5.32,83.35
5.36,82.87
5.40,81.35
5.44,81.44
5.48,82.75
5.52,82.24
5.56,82.20
5.60,82.14
5.64,83.27
5.68,82.54
5.72,82.78
5.76,80.67
5.80,80.91
5.84,81.71
5.88,81.71
5.92,80.36
5.96,79.80
6.00,79.36
6.04,80.25
6.08,78.22
6.12,80.24
6.16,77.50
6.20,78.26
6.24,79.66
6.28,79.26
6.32,80.27
6.36,78.89
6.40,78.93
6.44,77.99
6.48,78.86
6.52,78.67
