# SIMULARE — semnal generat de genereaza_simulare.py, nu inregistrat. Rol: control pozitiv pentru validarea lantului de analiza.
t_s,ch1_o1,ch2_fp1,bpm,eticheta,calitate,simulat
0.0000,-8.870,0.287,77.66,repaus,bun,1
0.0040,3.070,22.981,78.74,repaus,bun,1
0.0080,-10.885,14.585,79.10,repaus,bun,1
0.0120,-23.361,1.114,78.21,repaus,bun,1
0.0160,-37.346,-10.184,78.66,repaus,bun,1
0.0200,-26.282,4.237,78.65,repaus,bun,1
0.0240,-16.144,11.581,77.89,repaus,bun,1
0.0280,-26.771,1.524,77.59,repaus,bun,1
0.0320,-33.342,-13.551,78.15,repaus,bun,1
0.0360,-35.354,-27.150,78.13,repaus,bun,1
0.0400,-16.222,-13.634,77.87,repaus,bun,1
0.0440,4.098,0.475,78.70,repaus,bun,1
0.0480,2.690,-8.835,77.78,repaus,bun,1
0.0520,-3.910,-16.836,78.21,repaus,bun,1
0.0560,-12.749,-21.331,77.15,repaus,bun,1
0.0600,5.995,-10.412,78.55,repaus,bun,1
0.0640,17.037,7.932,78.82,repaus,bun,1
0.0680,8.917,8.492,77.91,repaus,bun,1
0.0720,-3.604,-2.319,79.28,repaus,bun,1
0.0760,-14.461,-13.577,79.73,repaus,bun,1
0.0800,-4.003,4.687,78.98,repaus,bun,1
0.0840,8.390,20.910,78.16,repaus,bun,1
0.0880,-1.402,12.347,78.19,repaus,bun,1
0.0920,-13.421,3.534,79.10,repaus,bun,1
0.0960,-23.294,-8.070,78.57,repaus,bun,1
0.1000,-12.425,12.120,78.24,repaus,bun,1
0.1040,-6.429,27.497,79.67,repaus,bun,1
0.1080,-22.756,23.092,76.35,repaus,bun,1
0.1120,-34.444,12.371,79.27,repaus,bun,1
0.1160,-47.396,-1.718,77.80,repaus,bun,1
0.1200,-34.477,16.754,78.62,repaus,bun,1
0.1240,-30.651,37.794,79.13,repaus,bun,1
0.1280,-33.733,24.064,78.97,repaus,bun,1
0.1320,-45.948,4.814,77.65,repaus,bun,1
0.1360,-52.483,-7.289,78.05,repaus,bun,1
0.1400,-36.673,7.263,79.18,repaus,bun,1
0.1440,-5.170,21.027,78.06,repaus,bun,1
0.1480,-10.534,6.148,79.65,repaus,bun,1
0.1520,-12.046,-7.162,79.31,repaus,bun,1
0.1560,-21.415,-23.530,78.10,repaus,bun,1
0.1600,-7.019,-3.281,79.46,repaus,bun,1
0.1640,13.196,14.511,79.49,repaus,bun,1
0.1680,2.515,3.821,80.25,repaus,bun,1
0.1720,-6.657,1.395,78.74,repaus,bun,1
0.1760,-25.644,-9.719,77.90,repaus,bun,1
0.1800,-7.196,8.999,79.78,repaus,bun,1
0.1840,2.231,33.247,78.78,repaus,bun,1
0.1880,-3.715,10.038,78.01,repaus,bun,1
0.1920,-10.752,-2.232,79.30,repaus,bun,1
0.1960,-21.429,-21.357,78.60,repaus,bun,1
0.2000,-13.699,-3.922,79.74,repaus,bun,1
0.2040,2.691,16.337,78.41,repaus,bun,1
0.2080,-7.703,-0.575,80.01,repaus,bun,1
0.2120,-18.492,-10.461,79.64,repaus,bun,1
0.2160,-34.884,-18.992,80.29,repaus,bun,1
0.2200,-25.620,5.637,80.90,repaus,bun,1
0.2240,-12.706,22.177,79.55,repaus,bun,1
0.2280,-20.461,13.996,78.91,repaus,bun,1
0.2320,-30.455,8.623,80.26,repaus,bun,1
0.2360,-40.350,-10.757,78.93,repaus,bun,1
0.2400,-19.471,6.697,80.35,repaus,bun,1
0.2440,3.078,22.075,78.65,repaus,bun,1
0.2480,-6.671,8.959,78.87,repaus,bun,1
0.2520,-10.069,-8.188,78.55,repaus,bun,1
0.2560,-11.699,-20.927,78.07,repaus,bun,1
0.2600,10.325,1.944,79.14,repaus,bun,1
0.2640,23.975,20.863,80.61,repaus,bun,1
0.2680,13.009,15.308,79.34,repaus,bun,1
0.2720,6.079,10.832,78.50,repaus,bun,1
0.2760,-10.366,1.029,79.83,repaus,bun,1
0.2800,-3.469,22.972,79.30,repaus,bun,1
0.2840,6.411,41.197,79.66,repaus,bun,1
0.2880,-6.380,32.829,79.14,repaus,bun,1
0.2920,-22.108,21.054,79.11,repaus,bun,1
0.2960,-33.963,9.057,79.46,repaus,bun,1
0.3000,-27.383,15.321,78.60,repaus,bun,1
0.3040,-10.533,35.118,79.81,repaus,bun,1
0.3080,-19.768,16.600,79.53,repaus,bun,1
0.3120,-34.622,-1.442,78.50,repaus,bun,1
0.3160,-43.809,-10.850,79.14,repaus,bun,1
0.3200,-31.322,12.788,80.26,repaus,bun,1
0.3240,-15.632,29.169,79.81,repaus,bun,1
0.3280,-23.599,13.757,80.45,repaus,bun,1
0.3320,-32.841,5.248,78.75,repaus,bun,1
0.3360,-38.587,-3.968,78.14,repaus,bun,1
0.3400,-20.619,10.122,78.50,repaus,bun,1
0.3440,2.004,17.384,78.97,repaus,bun,1
0.3480,-9.288,-0.387,80.80,repaus,bun,1
0.3520,-8.554,-7.810,79.89,repaus,bun,1
0.3560,-15.698,-25.949,80.14,repaus,bun,1
0.3600,1.351,-8.368,81.74,repaus,bun,1
0.3640,21.923,8.204,79.04,repaus,bun,1
0.3680,15.309,0.631,79.18,repaus,bun,1
0.3720,6.739,-11.152,80.08,repaus,bun,1
0.3760,-4.442,-13.415,81.07,repaus,bun,1
0.3800,-0.609,10.357,78.94,repaus,bun,1
0.3840,8.227,29.122,78.98,repaus,bun,1
0.3880,-6.484,16.242,80.81,repaus,bun,1
0.3920,-15.543,3.811,79.75,repaus,bun,1
0.3960,-32.120,-8.902,81.71,repaus,bun,1
0.4000,-15.242,6.714,80.44,repaus,bun,1
0.4040,-6.153,22.649,81.15,repaus,bun,1
0.4080,-15.113,1.290,79.73,repaus,bun,1
0.4120,-27.999,-12.276,79.99,repaus,bun,1
0.4160,-39.009,-24.918,79.59,repaus,bun,1
0.4200,-20.067,-5.100,80.65,repaus,bun,1
0.4240,-7.227,15.026,80.56,repaus,bun,1
0.4280,-21.652,8.335,80.74,repaus,bun,1
0.4320,-40.789,5.119,81.85,repaus,bun,1
0.4360,-46.685,-7.463,80.11,repaus,bun,1
0.4400,-32.984,12.775,80.65,repaus,bun,1
0.4440,-9.529,34.458,80.31,repaus,bun,1
0.4480,-15.133,13.755,79.07,repaus,bun,1
0.4520,-22.835,-1.440,80.63,repaus,bun,1
0.4560,-26.106,-10.210,79.48,repaus,bun,1
0.4600,-7.806,8.685,79.31,repaus,bun,1
0.4640,10.192,20.567,80.76,repaus,bun,1
0.4680,6.114,9.645,80.40,repaus,bun,1
0.4720,-11.772,-2.845,79.84,repaus,bun,1
0.4760,-20.143,-8.507,80.39,repaus,bun,1
0.4800,-3.875,12.179,79.06,repaus,bun,1
0.4840,0.651,35.052,81.14,repaus,bun,1
0.4880,-14.655,17.677,80.48,repaus,bun,1
0.4920,-32.322,11.904,79.88,repaus,bun,1
0.4960,-48.108,1.643,80.35,repaus,bun,1
0.5000,-34.506,16.137,81.33,repaus,bun,1
0.5040,-24.746,27.289,81.66,repaus,bun,1
0.5080,-28.926,11.851,79.74,repaus,bun,1
0.5120,-36.662,-4.549,81.62,repaus,bun,1
0.5160,-40.782,-17.341,80.83,repaus,bun,1
0.5200,-29.904,-5.436,80.38,repaus,bun,1
0.5240,-13.887,8.534,80.11,repaus,bun,1
0.5280,-21.613,5.640,80.01,repaus,bun,1
0.5320,-28.730,-15.945,80.94,repaus,bun,1
0.5360,-29.916,-14.931,80.81,repaus,bun,1
0.5400,-11.472,-3.842,80.44,repaus,bun,1
0.5440,2.049,22.840,80.25,repaus,bun,1
0.5480,-9.479,5.747,79.33,repaus,bun,1
0.5520,-11.865,-12.426,83.34,repaus,bun,1
0.5560,-18.050,-18.985,82.77,repaus,bun,1
0.5600,-1.208,-9.838,82.09,repaus,bun,1
0.5640,14.225,11.595,80.29,repaus,bun,1
0.5680,9.221,-1.066,82.60,repaus,bun,1
0.5720,6.389,-11.644,81.10,repaus,bun,1
0.5760,-7.422,-15.627,79.76,repaus,bun,1
0.5800,1.123,5.527,78.92,repaus,bun,1
0.5840,14.482,29.361,78.76,repaus,bun,1
0.5880,-3.081,26.354,81.26,repaus,bun,1
0.5920,-23.730,14.442,80.90,repaus,bun,1
0.5960,-40.885,-1.403,79.67,repaus,bun,1
0.6000,-30.384,22.456,80.28,repaus,bun,1
0.6040,-19.520,33.361,82.04,repaus,bun,1
0.6080,-36.261,21.582,81.15,repaus,bun,1
0.6120,-47.254,6.797,81.38,repaus,bun,1
0.6160,-52.787,-5.428,80.77,repaus,bun,1
0.6200,-35.434,2.005,81.09,repaus,bun,1
0.6240,-14.517,14.660,80.15,repaus,bun,1
0.6280,-18.749,11.153,82.00,repaus,bun,1
0.6320,-24.139,0.939,80.10,repaus,bun,1
0.6360,-33.072,-14.014,81.27,repaus,bun,1
0.6400,-19.006,8.953,80.19,repaus,bun,1
0.6440,-0.398,38.259,78.81,repaus,bun,1
0.6480,-7.429,24.620,81.88,repaus,bun,1
0.6520,-16.608,7.547,83.04,repaus,bun,1
0.6560,-25.097,0.766,81.38,repaus,bun,1
0.6600,-4.593,14.226,81.99,repaus,bun,1
0.6640,14.438,23.273,79.95,repaus,bun,1
0.6680,7.035,13.488,80.36,repaus,bun,1
0.6720,-2.947,-5.108,81.32,repaus,bun,1
0.6760,-15.243,-16.994,83.00,repaus,bun,1
0.6800,-3.452,-4.447,81.50,repaus,bun,1
0.6840,10.098,17.648,81.76,repaus,bun,1
0.6880,-0.157,9.740,81.41,repaus,bun,1
0.6920,-18.954,0.180,81.25,repaus,bun,1
0.6960,-27.938,-15.412,81.09,repaus,bun,1
0.7000,-21.344,7.028,79.96,repaus,bun,1
0.7040,-12.427,31.452,81.48,repaus,bun,1
0.7080,-21.084,19.288,81.50,repaus,bun,1
0.7120,-23.596,7.357,81.41,repaus,bun,1
0.7160,-31.988,-5.761,81.36,repaus,bun,1
0.7200,-15.510,0.645,82.26,repaus,bun,1
0.7240,4.347,16.498,82.77,repaus,bun,1
0.7280,0.858,-3.941,81.66,repaus,bun,1
0.7320,-11.137,-20.540,82.73,repaus,bun,1
0.7360,-18.001,-23.760,82.77,repaus,bun,1
0.7400,4.941,-0.131,81.13,repaus,bun,1
0.7440,14.057,20.611,82.36,repaus,bun,1
0.7480,8.391,16.610,82.25,repaus,bun,1
0.7520,-4.426,5.070,82.32,repaus,bun,1
0.7560,-14.515,4.916,81.50,repaus,bun,1
0.7600,4.859,22.609,80.64,repaus,bun,1
0.7640,20.765,39.783,81.55,repaus,bun,1
0.7680,6.546,26.155,79.75,repaus,bun,1
0.7720,-3.813,14.360,80.98,repaus,bun,1
0.7760,-22.927,4.898,82.23,repaus,bun,1
0.7800,-15.445,25.461,79.98,repaus,bun,1
0.7840,-4.419,41.333,81.52,repaus,bun,1
0.7880,-15.289,25.768,81.85,repaus,bun,1
0.7920,-23.519,20.226,80.97,repaus,bun,1
0.7960,-35.292,7.272,79.88,repaus,bun,1
0.8000,-28.561,27.301,82.79,repaus,bun,1
0.8040,-23.389,44.764,80.77,repaus,bun,1
0.8080,-31.174,35.502,80.52,repaus,bun,1
0.8120,-36.040,18.970,81.25,repaus,bun,1
0.8160,-47.720,4.939,80.70,repaus,bun,1
0.8200,-29.036,19.786,81.61,repaus,bun,1
0.8240,-7.257,21.234,81.93,repaus,bun,1
0.8280,-8.851,4.465,80.82,repaus,bun,1
0.8320,-12.732,-3.708,81.41,repaus,bun,1
0.8360,-14.400,-21.305,82.38,repaus,bun,1
0.8400,3.934,-4.149,82.06,repaus,bun,1
0.8440,28.633,8.241,82.09,repaus,bun,1
0.8480,17.719,3.438,83.80,repaus,bun,1
0.8520,6.863,-6.941,80.27,repaus,bun,1
0.8560,-5.543,-10.054,82.66,repaus,bun,1
0.8600,10.855,12.427,82.05,repaus,bun,1
0.8640,25.901,27.828,80.76,repaus,bun,1
0.8680,13.001,12.752,81.13,repaus,bun,1
0.8720,-1.713,-4.073,81.57,repaus,bun,1
0.8760,-18.515,-18.243,80.88,repaus,bun,1
0.8800,-5.778,-1.034,84.10,repaus,bun,1
0.8840,8.731,18.904,80.04,repaus,bun,1
0.8880,-5.109,-1.314,81.08,repaus,bun,1
0.8920,-16.563,-12.290,81.99,repaus,bun,1
0.8960,-32.761,-24.167,81.32,repaus,bun,1
0.9000,-18.683,-5.115,82.64,repaus,bun,1
0.9040,-8.860,18.586,81.21,repaus,bun,1
0.9080,-23.960,6.308,81.74,repaus,bun,1
0.9120,-31.017,-1.063,82.78,repaus,bun,1
0.9160,-43.431,-8.962,83.04,repaus,bun,1
0.9200,-29.696,13.602,80.88,repaus,bun,1
0.9240,-17.057,31.556,80.84,repaus,bun,1
0.9280,-14.815,20.369,82.08,repaus,bun,1
0.9320,-18.492,3.857,83.74,repaus,bun,1
0.9360,-21.375,-14.016,81.73,repaus,bun,1
0.9400,-6.302,-2.073,80.37,repaus,bun,1
0.9440,12.141,20.959,82.22,repaus,bun,1
0.9480,4.000,13.441,81.70,repaus,bun,1
0.9520,-4.576,14.036,82.16,repaus,bun,1
0.9560,-11.808,5.672,82.97,repaus,bun,1
0.9600,-0.510,33.766,82.28,repaus,bun,1
0.9640,9.004,44.021,81.02,repaus,bun,1
0.9680,0.353,37.330,82.39,repaus,bun,1
0.9720,-13.056,20.582,80.13,repaus,bun,1
0.9760,-33.289,5.395,82.60,repaus,bun,1
0.9800,-20.819,19.832,80.44,repaus,bun,1
0.9840,-6.478,28.457,80.76,repaus,bun,1
0.9880,-14.564,6.737,82.28,repaus,bun,1
0.9920,-24.782,-0.961,83.71,repaus,bun,1
0.9960,-35.094,-19.857,81.38,repaus,bun,1
1.0000,-23.103,-3.997,80.63,repaus,bun,1
1.0040,-10.785,16.228,80.38,repaus,bun,1
1.0080,-23.146,9.383,82.74,repaus,bun,1
1.0120,-31.395,-3.869,82.70,repaus,bun,1
1.0160,-40.792,-16.085,83.83,repaus,bun,1
1.0200,-22.964,1.292,82.57,repaus,bun,1
1.0240,-6.500,8.244,81.53,repaus,bun,1
1.0280,-13.900,-5.822,81.08,repaus,bun,1
1.0320,-12.923,-13.121,80.30,repaus,bun,1
1.0360,-13.625,-29.302,82.36,repaus,bun,1
1.0400,7.490,-10.242,83.49,repaus,bun,1
1.0440,24.783,-0.577,81.91,repaus,bun,1
1.0480,20.641,-11.948,82.04,repaus,bun,1
1.0520,10.905,-14.527,80.83,repaus,bun,1
1.0560,-3.125,-16.154,81.61,repaus,bun,1
1.0600,2.018,-1.278,84.08,repaus,bun,1
1.0640,11.521,29.313,82.89,repaus,bun,1
1.0680,-0.092,22.687,81.30,repaus,bun,1
1.0720,-17.539,9.995,81.59,repaus,bun,1
1.0760,-28.266,2.540,82.35,repaus,bun,1
1.0800,-18.971,20.371,81.31,repaus,bun,1
1.0840,-6.804,41.171,82.51,repaus,bun,1
1.0880,-18.763,19.359,81.97,repaus,bun,1
1.0920,-25.767,1.684,81.65,repaus,bun,1
1.0960,-37.847,-11.214,81.85,repaus,bun,1
1.1000,-28.209,2.249,81.76,repaus,bun,1
1.1040,-10.514,16.082,80.90,repaus,bun,1
1.1080,-21.007,5.792,82.22,repaus,bun,1
1.1120,-31.643,2.785,81.50,repaus,bun,1
1.1160,-43.539,-1.465,81.87,repaus,bun,1
1.1200,-21.361,11.345,81.00,repaus,bun,1
1.1240,-4.036,33.313,81.02,repaus,bun,1
1.1280,-7.639,13.681,79.95,repaus,bun,1
1.1320,-12.625,-0.049,81.84,repaus,bun,1
1.1360,-24.380,-12.167,81.69,repaus,bun,1
1.1400,-4.176,1.802,81.09,repaus,bun,1
1.1440,15.489,18.141,81.88,repaus,bun,1
1.1480,12.448,6.120,80.82,repaus,bun,1
1.1520,4.601,-12.104,82.65,repaus,bun,1
1.1560,-8.183,-18.989,80.54,repaus,bun,1
1.1600,-1.975,5.581,82.42,repaus,bun,1
1.1640,14.614,29.741,82.01,repaus,bun,1
1.1680,-0.425,22.387,81.90,repaus,bun,1
1.1720,-18.819,7.255,82.13,repaus,bun,1
1.1760,-28.443,-7.209,83.09,repaus,bun,1
1.1800,-14.519,4.540,82.23,repaus,bun,1
1.1840,-5.911,20.031,82.28,repaus,bun,1
1.1880,-14.654,3.550,81.32,repaus,bun,1
1.1920,-27.668,-19.853,81.19,repaus,bun,1
1.1960,-38.174,-31.863,79.91,repaus,bun,1
1.2000,-21.751,-14.387,82.26,repaus,bun,1
1.2040,0.176,3.924,80.44,repaus,bun,1
1.2080,-9.124,-20.034,81.16,repaus,bun,1
1.2120,-19.920,-26.988,80.51,repaus,bun,1
1.2160,-25.879,-34.990,79.61,repaus,bun,1
1.2200,-17.469,-6.076,81.44,repaus,bun,1
1.2240,7.211,8.995,81.28,repaus,bun,1
1.2280,1.865,2.134,82.34,repaus,bun,1
1.2320,-3.469,-10.393,81.08,repaus,bun,1
1.2360,-12.465,-19.163,81.93,repaus,bun,1
1.2400,3.418,0.775,82.96,repaus,bun,1
1.2440,18.153,18.650,80.99,repaus,bun,1
1.2480,10.490,4.093,81.95,repaus,bun,1
1.2520,2.481,-7.290,81.81,repaus,bun,1
1.2560,-1.583,-15.643,80.03,repaus,bun,1
1.2600,7.120,5.004,81.39,repaus,bun,1
1.2640,16.954,31.220,81.09,repaus,bun,1
1.2680,-3.961,18.757,82.63,repaus,bun,1
1.2720,-18.704,7.963,81.42,repaus,bun,1
1.2760,-37.587,-6.054,81.08,repaus,bun,1
1.2800,-27.821,18.255,82.64,repaus,bun,1
1.2840,-15.964,35.090,80.31,repaus,bun,1
1.2880,-32.403,17.325,81.64,repaus,bun,1
1.2920,-38.306,3.016,80.93,repaus,bun,1
1.2960,-49.857,-9.026,82.50,repaus,bun,1
1.3000,-36.065,-0.187,80.79,repaus,bun,1
1.3040,-13.982,5.631,80.23,repaus,bun,1
1.3080,-18.082,-12.751,82.62,repaus,bun,1
1.3120,-24.192,-21.815,81.11,repaus,bun,1
1.3160,-29.165,-27.998,81.45,repaus,bun,1
1.3200,-8.117,-16.186,81.85,repaus,bun,1
1.3240,3.634,9.522,79.67,repaus,bun,1
1.3280,-7.474,-3.415,80.42,repaus,bun,1
1.3320,-15.820,-16.354,80.78,repaus,bun,1
1.3360,-19.960,-27.843,79.96,repaus,bun,1
1.3400,0.078,-4.274,81.58,repaus,bun,1
1.3440,18.432,10.857,80.92,repaus,bun,1
1.3480,3.338,-6.095,81.90,repaus,bun,1
1.3520,-7.818,-19.227,80.50,repaus,bun,1
1.3560,-10.508,-33.103,82.35,repaus,bun,1
1.3600,-1.631,-17.733,80.65,repaus,bun,1
1.3640,8.997,1.439,81.54,repaus,bun,1
1.3680,-2.471,-10.086,80.33,repaus,bun,1
1.3720,-20.853,-17.544,81.85,repaus,bun,1
1.3760,-34.590,-23.454,80.40,repaus,bun,1
1.3800,-29.188,7.447,81.93,repaus,bun,1
1.3840,-15.378,17.425,80.93,repaus,bun,1
1.3880,-26.724,6.304,81.91,repaus,bun,1
1.3920,-44.064,-9.943,80.67,repaus,bun,1
1.3960,-48.958,-21.978,81.53,repaus,bun,1
